"Normals:0","Normals:1","Normals:2","VELOCITY_1","VELOCITY_2","VELOCITY_3","VELOCITY_4","VELOCITY_5","VELOCITY_6","VELOCITY_7","VELOCITY_8","VELOCITY_9","VELOCITY_10","VELOCITY_11","VELOCITY_12","VELOCITY_13","VELOCITY_14","VELOCITY_15","VELOCITY_16","VELOCITY_17","VELOCITY_18","VELOCITY_19","VELOCITY_20","VELOCITY_21","CP_1","CP_2","CP_3","CP_4","CP_5","CP_6","CP_7","CP_8","CP_9","CP_10","CP_11","CP_12","CP_13","CP_14","CP_15","CP_16","CP_17","CP_18","CP_19","CP_20","CP_21","DIPOLE_1","DIPOLE_2","DIPOLE_3","DIPOLE_4","DIPOLE_5","DIPOLE_6","DIPOLE_7","DIPOLE_8","DIPOLE_9","DIPOLE_10","DIPOLE_11","DIPOLE_12","DIPOLE_13","DIPOLE_14","DIPOLE_15","DIPOLE_16","DIPOLE_17","DIPOLE_18","DIPOLE_19","DIPOLE_20","DIPOLE_21","SOURCE_1","SOURCE_2","SOURCE_3","SOURCE_4","SOURCE_5","SOURCE_6","SOURCE_7","SOURCE_8","SOURCE_9","SOURCE_10","SOURCE_11","SOURCE_12","SOURCE_13","SOURCE_14","SOURCE_15","SOURCE_16","SOURCE_17","SOURCE_18","SOURCE_19","SOURCE_20","SOURCE_21","Points:0","Points:1","Points:2"
0.096382,0,0,6.2013,6.2058,6.2099,6.2134,6.2165,6.2191,6.2212,6.2229,6.2241,6.2248,6.225,6.2248,6.2241,6.2229,6.2212,6.2191,6.2165,6.2134,6.2099,6.2058,6.2013,-0.028916,-0.029829,-0.030654,-0.031374,-0.032006,-0.032544,-0.032984,-0.033328,-0.033576,-0.033732,-0.033789,-0.033753,-0.033619,-0.033392,-0.033069,-0.032651,-0.032129,-0.031528,-0.030818,-0.030028,-0.029123,-0.12871,-0.12881,-0.12889,-0.12896,-0.12903,-0.12908,-0.12913,-0.12916,-0.12919,-0.1292,-0.1292,-0.1292,-0.12919,-0.12916,-0.12913,-0.12908,-0.12903,-0.12896,-0.12889,-0.12881,-0.12871,0.58785,0.58827,0.58865,0.58899,0.58928,0.58953,0.58973,0.58989,0.59,0.59007,0.59009,0.59007,0.59,0.58989,0.58973,0.58953,0.58928,0.58899,0.58865,0.58827,0.58785,1,0,1.1102e-17
0.096255,0,-0.99533,6.4862,6.4593,6.4324,6.4042,6.3763,6.3477,6.3186,6.2888,6.2585,6.2282,6.1971,6.1652,6.1332,6.1006,6.0676,6.0341,6.0008,5.9657,5.9315,5.8957,5.8606,-0.12242,-0.11314,-0.10387,-0.094206,-0.084675,-0.074981,-0.065133,-0.055121,-0.044953,-0.034859,-0.024546,-0.014017,-0.0035337,0.0071096,0.017827,0.028657,0.039343,0.050535,0.061409,0.072685,0.083707,-0.81835,-0.74969,-0.681,-0.61222,-0.54342,-0.47459,-0.40571,-0.3368,-0.26786,-0.19891,-0.12995,-0.060956,0.0080233,0.077023,0.146,0.21497,0.28391,0.35285,0.42175,0.49061,0.55944,1.1182,1.0656,1.013,0.96024,0.90744,0.85457,0.80163,0.74863,0.69558,0.64247,0.58932,0.53612,0.48287,0.4296,0.37629,0.32295,0.26958,0.2162,0.16279,0.10938,0.055959,0.99897,0,-9.9479e-05
0.095876,0,-0.99537,6.4171,6.3934,6.3696,6.3446,6.3197,6.2944,6.2684,6.2418,6.2147,6.1875,6.1596,6.1309,6.1021,6.0727,6.0429,6.0126,5.9825,5.9506,5.9195,5.8871,5.855,-0.098573,-0.090467,-0.082362,-0.073881,-0.065498,-0.056957,-0.048254,-0.039385,-0.030356,-0.021376,-0.012183,-0.0027698,0.0066164,0.016171,0.025806,0.035563,0.045206,0.05533,0.065184,0.075414,0.08544,-0.82171,-0.75294,-0.68414,-0.61525,-0.54633,-0.47739,-0.4084,-0.33938,-0.27032,-0.20126,-0.13218,-0.063073,0.0060211,0.075135,0.14423,0.21331,0.28237,0.35142,0.42044,0.48941,0.55836,1.1159,1.0633,1.0107,0.95794,0.90513,0.85226,0.79932,0.74632,0.69326,0.64016,0.587,0.5338,0.48055,0.42727,0.37396,0.32062,0.26725,0.21387,0.16047,0.10705,0.053629,0.9959,0,-0.00039672
0.095252,0,-0.99543,6.3753,6.3529,6.3303,6.3067,6.2831,6.259,6.2343,6.209,6.1832,6.1573,6.1307,6.1033,6.0758,6.0477,6.0192,5.9902,5.9613,5.9309,5.901,5.8699,5.8392,-0.084332,-0.076713,-0.06908,-0.061095,-0.05318,-0.045114,-0.036886,-0.028492,-0.019945,-0.011423,-0.0026987,0.0062381,0.015163,0.024254,0.033429,0.042728,0.051939,0.061594,0.071019,0.080789,0.090393,-0.82543,-0.75658,-0.6877,-0.61875,-0.54975,-0.48074,-0.41167,-0.34257,-0.27344,-0.20431,-0.13515,-0.065969,0.0032021,0.072392,0.14156,0.21072,0.27985,0.34898,0.41808,0.48713,0.55616,1.1121,1.0595,1.0069,0.95414,0.90133,0.84846,0.79551,0.74251,0.68945,0.63634,0.58317,0.52997,0.47672,0.42344,0.37013,0.31678,0.26342,0.21003,0.15663,0.10321,0.049788,0.99078,0,-0.00088814
0.094392,0,-0.99551,6.3346,6.3138,6.2929,6.2709,6.249,6.2266,6.2036,6.18,6.1558,6.1316,6.1067,6.081,6.0552,6.0288,6.002,5.9747,5.9475,5.9188,5.8906,5.8612,5.8321,-0.070502,-0.063499,-0.056462,-0.049099,-0.04178,-0.034308,-0.026676,-0.018883,-0.010937,-0.0029943,0.0051444,0.013487,0.021835,0.030346,0.038949,0.047675,0.056343,0.065415,0.074305,0.083512,0.092588,-0.82925,-0.76036,-0.69144,-0.62243,-0.55339,-0.48433,-0.41521,-0.34607,-0.27689,-0.2077,-0.1385,-0.069269,-4.9136e-05,0.069189,0.13841,0.20762,0.2768,0.34598,0.41513,0.48423,0.55331,1.1069,1.0543,1.0017,0.94892,0.89611,0.84322,0.79027,0.73726,0.6842,0.63108,0.57791,0.5247,0.47145,0.41817,0.36485,0.3115,0.25813,0.20475,0.15134,0.097926,0.044502,0.98365,0,-0.0015679
0.093311,0,-0.99561,6.3017,6.2826,6.2633,6.243,6.2227,6.2019,6.1805,6.1586,6.1361,6.1135,6.0902,6.0662,6.042,6.0173,5.9921,5.9665,5.9408,5.9139,5.8873,5.8596,5.8321,-0.059435,-0.053016,-0.04655,-0.039776,-0.033023,-0.026121,-0.019057,-0.011833,-0.0044583,0.0029334,0.010514,0.01829,0.026092,0.034054,0.042111,0.050295,0.058449,0.066966,0.075349,0.084018,0.092599,-0.8329,-0.764,-0.69505,-0.62603,-0.55697,-0.48789,-0.41876,-0.34959,-0.2804,-0.21119,-0.14196,-0.072714,-0.0034727,0.065786,0.13502,0.20426,0.27346,0.34267,0.41184,0.48096,0.55006,1.1004,1.0478,0.99511,0.94235,0.88953,0.83663,0.78368,0.73066,0.67759,0.62446,0.57129,0.51808,0.46482,0.41153,0.35821,0.30486,0.25149,0.1981,0.14469,0.091275,0.037851,0.97453,0,-0.0024281
0.092023,0,-0.99573,6.2796,6.2619,6.2439,6.2251,6.2062,6.1867,6.1668,6.1462,6.1252,6.104,6.0821,6.0596,6.0368,6.0135,5.9898,5.9655,5.9412,5.9158,5.8905,5.8643,5.8382,-0.051993,-0.046068,-0.040084,-0.033813,-0.027536,-0.021114,-0.01453,-0.0077872,-0.00089505,0.0060331,0.013142,0.02044,0.02778,0.035278,0.042877,0.050604,0.058325,0.066378,0.074331,0.082548,0.090712,-0.83613,-0.76724,-0.69831,-0.62931,-0.56026,-0.49119,-0.42207,-0.35292,-0.28374,-0.21454,-0.14533,-0.076097,-0.0068688,0.062377,0.1316,0.20082,0.27002,0.33921,0.40837,0.47748,0.54657,1.0926,1.04,0.98729,0.93453,0.88169,0.82879,0.77582,0.7228,0.66972,0.61659,0.56341,0.51019,0.45693,0.40363,0.35031,0.29695,0.24358,0.19019,0.13678,0.08336,0.029935,0.96346,0,-0.0034589
0.090549,0,-0.99587,6.2686,6.252,6.2351,6.2174,6.1996,6.1812,6.1623,6.1429,6.123,6.1028,6.0821,6.0606,6.039,6.0168,5.9941,5.971,5.9478,5.9234,5.8992,5.8742,5.8491,-0.048322,-0.042772,-0.037154,-0.03127,-0.025354,-0.019295,-0.013076,-0.0067005,-0.00017504,0.0064015,0.013152,0.020087,0.027079,0.034223,0.041475,0.048857,0.056252,0.063951,0.071582,0.079458,0.087307,-0.83871,-0.76987,-0.701,-0.63204,-0.56305,-0.49403,-0.42497,-0.35587,-0.28674,-0.21759,-0.14843,-0.079249,-0.010071,0.059124,0.1283,0.19747,0.26662,0.33576,0.40487,0.47393,0.54297,1.0837,1.031,0.97835,0.92557,0.87272,0.81981,0.76683,0.71379,0.66071,0.60757,0.55438,0.50115,0.44789,0.39458,0.34125,0.2879,0.23452,0.18112,0.12771,0.074293,0.020868,0.95048,0,-0.0046488
0.088905,0,-0.99602,6.2682,6.2524,6.2362,6.2193,6.2021,6.1845,6.1664,6.1477,6.1285,6.1091,6.089,6.0684,6.0474,6.026,6.0041,5.9817,5.9591,5.9356,5.9121,5.8878,5.8634,-0.048189,-0.042889,-0.037509,-0.03188,-0.026201,-0.020378,-0.014399,-0.0082638,-0.0019788,0.0043699,0.010888,0.017585,0.024351,0.031267,0.038293,0.04545,0.052639,0.060106,0.067534,0.075186,0.082839,-0.84045,-0.7717,-0.70292,-0.63407,-0.56517,-0.49625,-0.42728,-0.35827,-0.28924,-0.22019,-0.15112,-0.082029,-0.012944,0.056157,0.12524,0.19432,0.26337,0.33242,0.40144,0.47041,0.53936,1.0737,1.0211,0.96837,0.91558,0.86272,0.80979,0.75681,0.70376,0.65066,0.59751,0.54432,0.49108,0.43781,0.3845,0.33117,0.27781,0.22442,0.17102,0.11761,0.064191,0.010764,0.93566,0,-0.005985
0.087112,0,-0.99618,6.2772,6.2617,6.2459,6.2294,6.2126,6.1954,6.1776,6.1593,6.1405,6.1214,6.1018,6.0815,6.061,6.0399,6.0184,5.9964,5.9741,5.951,5.9279,5.904,5.8799,-0.051186,-0.046012,-0.040746,-0.035245,-0.029679,-0.023969,-0.018104,-0.012085,-0.005917,0.00032629,0.0067345,0.013316,0.019976,0.026784,0.033706,0.040758,0.047858,0.055211,0.062552,0.0701,0.07767,-0.84117,-0.77257,-0.70393,-0.63522,-0.56647,-0.49768,-0.42885,-0.35999,-0.2911,-0.22219,-0.15327,-0.084317,-0.015373,0.053586,0.12253,0.19146,0.26038,0.32929,0.39816,0.46699,0.53581,1.0629,1.0102,0.95749,0.90468,0.85181,0.79887,0.74587,0.69281,0.6397,0.58654,0.53334,0.4801,0.42682,0.3735,0.32016,0.2668,0.21341,0.16001,0.10659,0.05317,-0.00025687,0.91904,0,-0.0074536
0.085187,0,-0.99634,6.2939,6.2785,6.2627,6.2463,6.2296,6.2123,6.1946,6.1764,6.1577,6.1386,6.119,6.0988,6.0783,6.0573,6.0358,6.0138,5.9916,5.9686,5.9454,5.9215,5.8975,-0.056786,-0.051621,-0.046354,-0.040865,-0.035296,-0.029585,-0.023721,-0.017703,-0.011538,-0.0052872,0.0011237,0.0077025,0.014369,0.021182,0.028109,0.035169,0.042286,0.049637,0.056998,0.064549,0.07214,-0.84073,-0.77232,-0.70388,-0.63536,-0.5668,-0.49821,-0.42958,-0.36091,-0.29221,-0.2235,-0.15477,-0.086012,-0.017262,0.051503,0.12025,0.18899,0.25772,0.32643,0.39511,0.46375,0.53237,1.0512,0.99855,0.9458,0.89298,0.84009,0.78714,0.73413,0.68106,0.62794,0.57477,0.52155,0.4683,0.41501,0.36169,0.30835,0.25498,0.20159,0.14818,0.094764,0.04134,-0.012087,0.90071,0,-0.0090399
