"Normals:0","Normals:1","Normals:2","VELOCITY_1","VELOCITY_2","VELOCITY_3","VELOCITY_4","VELOCITY_5","VELOCITY_6","VELOCITY_7","VELOCITY_8","VELOCITY_9","VELOCITY_10","VELOCITY_11","VELOCITY_12","VELOCITY_13","VELOCITY_14","VELOCITY_15","VELOCITY_16","VELOCITY_17","VELOCITY_18","VELOCITY_19","VELOCITY_20","VELOCITY_21","CP_1","CP_2","CP_3","CP_4","CP_5","CP_6","CP_7","CP_8","CP_9","CP_10","CP_11","CP_12","CP_13","CP_14","CP_15","CP_16","CP_17","CP_18","CP_19","CP_20","CP_21","DIPOLE_1","DIPOLE_2","DIPOLE_3","DIPOLE_4","DIPOLE_5","DIPOLE_6","DIPOLE_7","DIPOLE_8","DIPOLE_9","DIPOLE_10","DIPOLE_11","DIPOLE_12","DIPOLE_13","DIPOLE_14","DIPOLE_15","DIPOLE_16","DIPOLE_17","DIPOLE_18","DIPOLE_19","DIPOLE_20","DIPOLE_21","SOURCE_1","SOURCE_2","SOURCE_3","SOURCE_4","SOURCE_5","SOURCE_6","SOURCE_7","SOURCE_8","SOURCE_9","SOURCE_10","SOURCE_11","SOURCE_12","SOURCE_13","SOURCE_14","SOURCE_15","SOURCE_16","SOURCE_17","SOURCE_18","SOURCE_19","SOURCE_20","SOURCE_21","Points:0","Points:1","Points:2"
0.096406,0,-0.00027549,6.1414,6.159,6.1747,6.1886,6.2006,6.2106,6.2188,6.2251,6.2295,6.232,6.2326,6.2313,6.2281,6.223,6.2161,6.2072,6.1964,6.1837,6.1692,6.1528,6.1345,-0.017771,-0.0214,-0.024649,-0.027508,-0.029982,-0.032036,-0.033709,-0.034963,-0.035821,-0.036274,-0.036319,-0.035958,-0.035196,-0.034024,-0.032457,-0.030473,-0.02811,-0.025346,-0.022169,-0.018626,-0.014669,-0.12732,-0.12772,-0.12809,-0.12842,-0.12871,-0.12896,-0.12917,-0.12934,-0.12947,-0.12957,-0.12962,-0.12963,-0.12961,-0.12954,-0.12944,-0.1293,-0.12911,-0.12889,-0.12863,-0.12833,-0.12799,0.58157,0.58324,0.58473,0.58605,0.58718,0.58814,0.58892,0.58952,0.58994,0.59018,0.59024,0.59012,0.58982,0.58934,0.58869,0.58785,0.58683,0.58564,0.58426,0.58271,0.58098,1,0,1.1102e-17
0.093454,0,-0.9956,6.7414,6.6986,6.654,6.6074,6.5593,6.5081,6.456,6.4009,6.3445,6.2863,6.2254,6.1636,6.0987,6.033,5.9648,5.8956,5.8237,5.7503,5.6761,5.599,5.5211,-0.2125,-0.19715,-0.18126,-0.16474,-0.14786,-0.12999,-0.11197,-0.093065,-0.073856,-0.054245,-0.033929,-0.013481,0.0077523,0.028991,0.050836,0.072736,0.095215,0.11788,0.1405,0.16368,0.18677,-1.5181,-1.3794,-1.2402,-1.1007,-0.96084,-0.82066,-0.68027,-0.53964,-0.39887,-0.25797,-0.11699,0.023993,0.16503,0.30599,0.44683,0.58757,0.72815,0.86846,1.0084,1.1482,1.2876,1.622,1.5187,1.4149,1.3108,1.2062,1.1012,0.99597,0.8904,0.78455,0.67846,0.57216,0.4657,0.35909,0.25236,0.14557,0.038727,-0.068127,-0.17496,-0.28174,-0.38843,-0.49501,0.99897,0,-9.6683e-05
0.093091,0,-0.99564,6.6649,6.6265,6.5863,6.5439,6.5003,6.4535,6.4059,6.3553,6.3032,6.2495,6.1932,6.1358,6.0755,6.0143,5.9507,5.8859,5.8186,5.7497,5.6801,5.6075,5.5341,-0.18505,-0.17143,-0.15726,-0.14244,-0.12725,-0.11108,-0.094727,-0.077501,-0.059936,-0.041944,-0.023247,-0.0043785,0.01528,0.035,0.055326,0.075768,0.096797,0.11804,0.13929,0.16115,0.18295,-1.5223,-1.3834,-1.2441,-1.1043,-0.96429,-0.8239,-0.6833,-0.54247,-0.40149,-0.26038,-0.11919,0.022012,0.16326,0.30443,0.44549,0.58644,0.72723,0.86775,1.0079,1.148,1.2876,1.6198,1.5165,1.4128,1.3086,1.204,1.0991,0.99377,0.88819,0.78233,0.67624,0.56994,0.46347,0.35686,0.25014,0.14334,0.036495,-0.070358,-0.17719,-0.28397,-0.39066,-0.49723,0.9959,0,-0.00038557
0.092491,0,-0.99569,6.624,6.5871,6.5484,6.5076,6.4654,6.4202,6.3741,6.3251,6.2746,6.2224,6.1677,6.1119,6.0533,5.9937,5.9317,5.8685,5.8028,5.7356,5.6675,5.5966,5.5248,-0.17056,-0.15756,-0.14399,-0.12978,-0.11519,-0.099654,-0.083892,-0.067293,-0.050333,-0.032936,-0.014857,0.0034279,0.022472,0.041618,0.061353,0.081233,0.10169,0.12238,0.1431,0.16441,0.1857,-1.5266,-1.3876,-1.2481,-1.1082,-0.96806,-0.82753,-0.6868,-0.54583,-0.40471,-0.26346,-0.12214,0.019204,0.16059,0.3019,0.4431,0.5842,0.72513,0.8658,1.0061,1.1463,1.2861,1.6162,1.5129,1.4092,1.305,1.2004,1.0954,0.99014,0.88454,0.77868,0.67258,0.56627,0.4598,0.35318,0.24645,0.13965,0.032809,-0.074043,-0.18087,-0.28765,-0.39434,-0.5009,0.99078,0,-0.00086323
0.091667,0,-0.99577,6.5791,6.5445,6.508,6.4694,6.4295,6.3866,6.3427,6.296,6.2478,6.1979,6.1456,6.092,6.0357,5.9784,5.9188,5.8579,5.7946,5.7297,5.6639,5.5953,5.5259,-0.15477,-0.14263,-0.12992,-0.11657,-0.10283,-0.088157,-0.073235,-0.057497,-0.041377,-0.024805,-0.0075681,0.0099124,0.028127,0.046487,0.065424,0.084545,0.10423,0.12417,0.14418,0.16477,0.18538,-1.5308,-1.3917,-1.2521,-1.1121,-0.97189,-0.83129,-0.69048,-0.54942,-0.40822,-0.26689,-0.12548,0.015949,0.15742,0.29882,0.44011,0.58129,0.72232,0.86308,1.0035,1.1438,1.2836,1.6114,1.508,1.4042,1.3,1.1954,1.0904,0.98513,0.87953,0.77365,0.66754,0.56123,0.45474,0.34812,0.24139,0.13459,0.027742,-0.079111,-0.18594,-0.29271,-0.39939,-0.50596,0.98365,0,-0.001524
0.090631,0,-0.99587,6.5389,6.5065,6.4724,6.4362,6.3985,6.358,6.3164,6.2721,6.2263,6.1788,6.1289,6.0777,6.0238,5.9689,5.9117,5.8532,5.7923,5.7299,5.6664,5.6003,5.5332,-0.14067,-0.12942,-0.11758,-0.10511,-0.092219,-0.078435,-0.064361,-0.049494,-0.034224,-0.018488,-0.0020973,0.01457,0.031951,0.049522,0.067657,0.086017,0.10493,0.12412,0.14342,0.1633,0.18323,-1.5345,-1.3953,-1.2557,-1.1158,-0.9755,-0.83488,-0.69404,-0.55297,-0.41174,-0.27039,-0.12895,0.012507,0.15401,0.29544,0.43676,0.57797,0.71902,0.85982,1.0003,1.1406,1.2805,1.6052,1.5019,1.398,1.2938,1.1892,1.0842,0.97885,0.87322,0.76733,0.66121,0.55488,0.44839,0.34176,0.23502,0.12822,0.021373,-0.085479,-0.19231,-0.29907,-0.40575,-0.5123,0.97453,0,-0.0023603
0.089399,0,-0.99598,6.5072,6.477,6.4449,6.4108,6.3753,6.337,6.2974,6.2554,6.2117,6.1663,6.1186,6.0695,6.0179,5.9652,5.9101,5.8538,5.7951,5.7349,5.6735,5.6096,5.5446,-0.12964,-0.11917,-0.10812,-0.096426,-0.084293,-0.071301,-0.057981,-0.043889,-0.029372,-0.014376,0.0012607,0.017209,0.033852,0.050724,0.068153,0.085839,0.10407,0.12261,0.14128,0.16052,0.17986,-1.5374,-1.3983,-1.2588,-1.1189,-0.97863,-0.83806,-0.69727,-0.55624,-0.41506,-0.27374,-0.13234,0.0090748,0.15053,0.29193,0.43321,0.57439,0.71541,0.85617,0.99661,1.1369,1.2767,1.5979,1.4945,1.3907,1.2864,1.1817,1.0767,0.97137,0.86573,0.75982,0.65368,0.54734,0.44084,0.3342,0.22746,0.12065,0.0138,-0.093052,-0.19987,-0.30664,-0.41331,-0.51985,0.96347,0,-0.0033627
0.087989,0,-0.9961,6.4863,6.4578,6.4274,6.395,6.3612,6.3246,6.2868,6.2465,6.2046,6.1609,6.115,6.0676,6.0178,5.9668,5.9135,5.8589,5.802,5.7435,5.6838,5.6216,5.5583,-0.12238,-0.11254,-0.10211,-0.091033,-0.079499,-0.067136,-0.054413,-0.040935,-0.027015,-0.0126,0.0024415,0.017824,0.033883,0.050208,0.06708,0.084242,0.10194,0.11996,0.13815,0.1569,0.17578,-1.5393,-1.4004,-1.261,-1.1212,-0.98106,-0.84061,-0.69994,-0.55903,-0.41797,-0.27677,-0.13549,0.0058117,0.14715,0.28843,0.4296,0.57067,0.71157,0.85223,0.99256,1.1327,1.2725,1.5895,1.4861,1.3822,1.2779,1.1732,1.0682,0.96281,0.85715,0.75122,0.64506,0.53871,0.43219,0.32554,0.2188,0.11198,0.0051325,-0.10172,-0.20854,-0.31529,-0.42195,-0.52848,0.9505,0,-0.00452
0.08642,0,-0.99624,6.4766,6.4494,6.4203,6.3891,6.3564,6.3211,6.2845,6.2454,6.2047,6.1622,6.1175,6.0714,6.0229,5.973,5.921,5.8675,5.8119,5.7546,5.6961,5.6351,5.573,-0.11905,-0.10965,-0.099649,-0.089001,-0.077876,-0.065946,-0.053626,-0.04057,-0.027056,-0.013036,0.0016011,0.016605,0.032265,0.048227,0.064726,0.081542,0.098877,0.11656,0.13443,0.15286,0.17144,-1.54,-1.4013,-1.2621,-1.1225,-0.98257,-0.84233,-0.70187,-0.56117,-0.42031,-0.27932,-0.13825,0.0028527,0.14399,0.28507,0.42604,0.5669,0.70761,0.84806,0.98821,1.1282,1.2677,1.5802,1.4768,1.3728,1.2685,1.1638,1.0587,0.95329,0.8476,0.74165,0.63547,0.5291,0.42257,0.31591,0.20916,0.10234,-0.0045103,-0.11136,-0.21817,-0.32492,-0.43157,-0.53809,0.93567,0,-0.0058201
0.084711,0,-0.99639,6.4779,6.4513,6.4228,6.3923,6.3602,6.3257,6.2897,6.2513,6.2113,6.1694,6.1254,6.0799,6.0321,5.9828,5.9315,5.8786,5.8237,5.767,5.7091,5.6488,5.5872,-0.11947,-0.11031,-0.10053,-0.090107,-0.07919,-0.06749,-0.055371,-0.042536,-0.029227,-0.015404,-0.00097391,0.013846,0.029306,0.045092,0.061406,0.078061,0.095222,0.11274,0.13047,0.14875,0.16719,-1.5392,-1.4008,-1.2619,-1.1226,-0.98299,-0.84306,-0.7029,-0.5625,-0.42195,-0.28126,-0.14049,0.0003099,0.14115,0.28192,0.42259,0.56316,0.70357,0.84373,0.98358,1.1232,1.2625,1.5701,1.4666,1.3626,1.2582,1.1535,1.0483,0.94291,0.8372,0.73122,0.62503,0.51864,0.41209,0.30542,0.19866,0.091837,-0.015014,-0.12186,-0.22867,-0.33541,-0.44205,-0.54855,0.91906,0,-0.0072495
