"Normals:0","Normals:1","Normals:2","VELOCITY_1","VELOCITY_2","VELOCITY_3","VELOCITY_4","VELOCITY_5","VELOCITY_6","VELOCITY_7","VELOCITY_8","VELOCITY_9","VELOCITY_10","VELOCITY_11","VELOCITY_12","VELOCITY_13","VELOCITY_14","VELOCITY_15","VELOCITY_16","VELOCITY_17","VELOCITY_18","VELOCITY_19","VELOCITY_20","VELOCITY_21","CP_1","CP_2","CP_3","CP_4","CP_5","CP_6","CP_7","CP_8","CP_9","CP_10","CP_11","CP_12","CP_13","CP_14","CP_15","CP_16","CP_17","CP_18","CP_19","CP_20","CP_21","DIPOLE_1","DIPOLE_2","DIPOLE_3","DIPOLE_4","DIPOLE_5","DIPOLE_6","DIPOLE_7","DIPOLE_8","DIPOLE_9","DIPOLE_10","DIPOLE_11","DIPOLE_12","DIPOLE_13","DIPOLE_14","DIPOLE_15","DIPOLE_16","DIPOLE_17","DIPOLE_18","DIPOLE_19","DIPOLE_20","DIPOLE_21","SOURCE_1","SOURCE_2","SOURCE_3","SOURCE_4","SOURCE_5","SOURCE_6","SOURCE_7","SOURCE_8","SOURCE_9","SOURCE_10","SOURCE_11","SOURCE_12","SOURCE_13","SOURCE_14","SOURCE_15","SOURCE_16","SOURCE_17","SOURCE_18","SOURCE_19","SOURCE_20","SOURCE_21","Points:0","Points:1","Points:2"
0.14375,0,0,4.7413,4.7549,4.7672,4.7782,4.7873,4.7952,4.8016,4.8065,4.81,4.812,4.8125,4.8116,4.8092,4.8054,4.8001,4.7932,4.785,4.7753,4.7642,4.7517,4.7375,0.33909,0.34681,0.35443,0.36093,0.3666,0.37118,0.37507,0.37817,0.38035,0.3817,0.38213,0.38171,0.38045,0.37827,0.37512,0.37134,0.36672,0.3611,0.35401,0.34677,0.33903,-0.20417,-0.20477,-0.2053,-0.20577,-0.20618,-0.20653,-0.20681,-0.20703,-0.20719,-0.20728,-0.20731,-0.20728,-0.20719,-0.20703,-0.20681,-0.20652,-0.20618,-0.20577,-0.20529,-0.20476,-0.20416,0.86671,0.86925,0.87152,0.87352,0.87526,0.87673,0.87794,0.87888,0.87955,0.87995,0.88008,0.87995,0.87955,0.87888,0.87794,0.87673,0.87526,0.87352,0.87152,0.86925,0.86671,1,0,1.6653e-17
0.14356,0,-0.98964,3.8357,3.9468,4.0625,4.1752,4.2861,4.3934,4.5008,4.6076,4.7134,4.8181,4.9178,5.02,5.118,5.2161,5.3143,5.4073,5.4985,5.5902,5.685,5.7719,5.8552,0.5976,0.57603,0.5528,0.52937,0.5055,0.48166,0.45706,0.43189,0.40621,0.38008,0.35453,0.32765,0.3012,0.27408,0.24628,0.21933,0.19233,0.16458,0.13523,0.10777,0.080932,-1.7228,-1.573,-1.4227,-1.2719,-1.1208,-0.96934,-0.81759,-0.66558,-0.51336,-0.361,-0.20853,-0.055967,0.096576,0.24911,0.4016,0.5539,0.70606,0.858,1.0097,1.1611,1.3121,1.9177,1.816,1.7136,1.6108,1.5075,1.4037,1.2994,1.1948,1.0899,0.98454,0.87893,0.77305,0.66694,0.56062,0.45413,0.34751,0.24077,0.13397,0.027123,-0.079732,-0.18656,0.99897,0,-0.00014922
0.143,0,-0.98972,4.667,4.7184,4.7692,4.8178,4.8653,4.9111,4.9555,4.9983,5.0397,5.0797,5.1178,5.1544,5.1896,5.2231,5.2551,5.2856,5.3141,5.3415,5.3673,5.3913,5.4133,0.41762,0.40487,0.39217,0.37986,0.36772,0.35588,0.3443,0.33301,0.32203,0.31131,0.30102,0.29103,0.28139,0.27211,0.2632,0.25467,0.24661,0.23885,0.23147,0.22457,0.21821,-1.7269,-1.577,-1.4266,-1.2758,-1.1246,-0.97306,-0.82123,-0.66912,-0.51682,-0.36438,-0.21182,-0.059169,0.093464,0.24609,0.39867,0.55106,0.70331,0.85535,1.0072,1.1586,1.3097,1.9144,1.8126,1.7103,1.6074,1.5041,1.4003,1.2961,1.1914,1.0864,0.98112,0.8755,0.76962,0.66349,0.55717,0.45068,0.34405,0.23731,0.13051,0.023658,-0.083196,-0.19003,0.9959,0,-0.00059507
0.14208,0,-0.98986,5.0247,5.0586,5.0912,5.122,5.1514,5.1792,5.2054,5.23,5.253,5.2744,5.2942,5.3123,5.3289,5.3438,5.3571,5.3689,5.3789,5.3874,5.3942,5.3994,5.4029,0.32597,0.31689,0.30808,0.29974,0.29172,0.28409,0.27687,0.27004,0.26365,0.25764,0.25209,0.24699,0.24229,0.23807,0.2343,0.23095,0.22809,0.22567,0.22372,0.22222,0.22124,-1.7316,-1.5817,-1.4313,-1.2804,-1.1292,-0.97762,-0.82576,-0.67364,-0.5213,-0.36883,-0.21624,-0.063554,0.089114,0.24178,0.39439,0.54682,0.69912,0.8512,1.003,1.1545,1.3057,1.909,1.8072,1.7048,1.6019,1.4986,1.3947,1.2905,1.1858,1.0808,0.9755,0.86986,0.76396,0.65783,0.5515,0.445,0.33836,0.23162,0.12481,0.017961,-0.088893,-0.19572,0.99078,0,-0.0013322
0.14081,0,-0.99004,5.2614,5.2866,5.3102,5.3321,5.3525,5.3713,5.3884,5.4038,5.4176,5.4298,5.4403,5.4491,5.4563,5.4618,5.4656,5.4679,5.4684,5.4673,5.4645,5.4601,5.454,0.26123,0.25416,0.24749,0.24128,0.23549,0.23014,0.22524,0.22081,0.21684,0.21333,0.21029,0.20776,0.20566,0.20408,0.20299,0.20233,0.20219,0.20252,0.20336,0.20463,0.20642,-1.7362,-1.5864,-1.436,-1.2852,-1.134,-0.98247,-0.83064,-0.67854,-0.52624,-0.37379,-0.22122,-0.068565,0.084082,0.23672,0.38932,0.54173,0.69401,0.84607,0.99791,1.1494,1.3005,1.9016,1.7997,1.6973,1.5944,1.491,1.3871,1.2828,1.1782,1.0731,0.96776,0.8621,0.75618,0.65004,0.54369,0.43718,0.33053,0.22379,0.11697,0.010121,-0.096731,-0.20355,0.98365,0,-0.0023519
0.13921,0,-0.99026,5.4464,5.4656,5.4832,5.4991,5.5133,5.5259,5.5367,5.5459,5.5534,5.5592,5.5633,5.5656,5.5664,5.5654,5.5626,5.5583,5.5522,5.5445,5.535,5.5239,5.5111,0.20846,0.20288,0.19775,0.19312,0.18895,0.18526,0.18206,0.17936,0.17716,0.17544,0.17423,0.17355,0.17333,0.17364,0.17447,0.17575,0.17756,0.17986,0.18268,0.18594,0.18971,-1.7404,-1.5906,-1.4404,-1.2896,-1.1386,-0.98714,-0.83541,-0.6834,-0.5312,-0.37884,-0.22637,-0.073801,0.078757,0.23131,0.38382,0.53615,0.68834,0.84033,0.99209,1.1435,1.2946,1.8922,1.7903,1.6878,1.5848,1.4814,1.3775,1.2732,1.1685,1.0634,0.95801,0.85233,0.74639,0.64022,0.53386,0.42733,0.32068,0.21392,0.1071,0.00025254,-0.1066,-0.21342,0.97453,0,-0.0036422
0.13731,0,-0.99053,5.6028,5.6172,5.6299,5.6409,5.6501,5.6577,5.6635,5.6676,5.67,5.6706,5.6696,5.6667,5.6622,5.6559,5.6479,5.6382,5.6268,5.6137,5.5988,5.5823,5.5641,0.16241,0.1581,0.15429,0.15102,0.14823,0.14595,0.1442,0.14297,0.14227,0.14207,0.1424,0.14328,0.14464,0.14655,0.14898,0.15188,0.15533,0.15926,0.16373,0.16866,0.17407,-1.7436,-1.5941,-1.444,-1.2934,-1.1425,-0.99126,-0.83971,-0.68788,-0.53584,-0.38366,-0.23135,-0.078952,0.073442,0.22583,0.37818,0.53035,0.68239,0.83421,0.98581,1.1371,1.288,1.881,1.779,1.6765,1.5735,1.47,1.366,1.2617,1.1569,1.0518,0.94641,0.84069,0.73473,0.62854,0.52215,0.41561,0.30894,0.20218,0.095357,-0.011496,-0.11835,-0.22516,0.96346,0,-0.0051884
0.13514,0,-0.99083,5.7409,5.7511,5.7595,5.7661,5.771,5.7741,5.7755,5.7751,5.773,5.7691,5.7634,5.7559,5.7468,5.7358,5.7231,5.7088,5.6926,5.6748,5.6551,5.6338,5.6107,0.12064,0.11752,0.11494,0.11293,0.11143,0.11046,0.11004,0.11017,0.11085,0.11205,0.11379,0.1161,0.1189,0.12226,0.12616,0.13054,0.13546,0.14088,0.14683,0.15325,0.16016,-1.7456,-1.5963,-1.4465,-1.2962,-1.1455,-0.99453,-0.84324,-0.69167,-0.53989,-0.38796,-0.2359,-0.083759,0.068384,0.22052,0.37262,0.52455,0.67634,0.82792,0.97928,1.1303,1.281,1.8682,1.7661,1.6636,1.5605,1.4569,1.3529,1.2485,1.1437,1.0386,0.9331,0.82736,0.72136,0.61514,0.50874,0.40218,0.2955,0.18873,0.081897,-0.024957,-0.1318,-0.23861,0.95048,0,-0.0069732
0.13271,0,-0.99115,5.8665,5.8726,5.8771,5.8796,5.8804,5.8794,5.8767,5.8721,5.8657,5.8576,5.8477,5.8359,5.8225,5.8072,5.7901,5.7714,5.7508,5.7285,5.7044,5.6787,5.6512,0.081775,0.079848,0.078472,0.077682,0.077431,0.077741,0.078609,0.080052,0.082051,0.084598,0.0877,0.091368,0.095562,0.1003,0.10559,0.11138,0.11769,0.12452,0.13189,0.1397,0.14801,-1.746,-1.597,-1.4475,-1.2976,-1.1473,-0.99668,-0.84573,-0.69451,-0.54309,-0.39151,-0.2398,-0.088011,0.063785,0.21558,0.36733,0.51891,0.67036,0.82161,0.97263,1.1233,1.2737,1.8539,1.7518,1.6491,1.546,1.4423,1.3383,1.2338,1.129,1.0238,0.91827,0.81249,0.70646,0.60021,0.49379,0.38721,0.28051,0.17373,0.066894,-0.039962,-0.1468,-0.2536,0.93566,0,-0.0089776
0.13006,0,-0.99151,5.983,5.9854,5.9859,5.9846,5.9815,5.9765,5.9698,5.9612,5.9508,5.9386,5.9245,5.9087,5.8911,5.8716,5.8503,5.8274,5.8027,5.7761,5.7477,5.7178,5.686,0.044938,0.044193,0.044032,0.044463,0.045466,0.047041,0.049197,0.051941,0.055257,0.05913,0.063569,0.068585,0.074132,0.080234,0.086891,0.094037,0.10172,0.10992,0.11865,0.12782,0.13749,-1.7444,-1.5959,-1.4469,-1.2975,-1.1476,-0.99745,-0.84696,-0.6962,-0.54523,-0.39411,-0.24286,-0.091526,0.059816,0.21116,0.36245,0.51359,0.66459,0.81539,0.96596,1.1162,1.2661,1.8383,1.7361,1.6334,1.5301,1.4264,1.3223,1.2178,1.1129,1.0076,0.90208,0.79626,0.69019,0.58392,0.47746,0.37086,0.26415,0.15736,0.050521,-0.056335,-0.16317,-0.26996,0.91904,0,-0.01118
