%eval_id interface         m_root          m_top         p_root          p_top         t_root          t_top           span      chord_tip    my_function 
1            NO_ID              0              0            0.4            0.4           0.12           0.12             10              1   -43.14845118 
2            NO_ID              0              0            0.4            0.4   0.1002750011           0.08    10.00340069   0.9701845732   -44.66266511 
3            NO_ID              0              0            0.4            0.4           0.08           0.08    10.00471346   0.9640983949   -45.51490639 
4            NO_ID              0              0            0.4            0.4           0.08           0.08    10.08867692            0.5   -50.73449475 
5            NO_ID              0              0            0.4            0.4           0.08           0.08    11.11285059            0.5   -52.92200087 
6            NO_ID              0              0            0.4            0.4           0.08           0.08             15            0.5   -60.35628083 
7            NO_ID              0              0            0.4            0.4           0.08           0.08             15            0.5   -60.35628083 
8            NO_ID           0.05              0            0.4            0.4           0.08           0.08             15            0.5   -46.79996171 
9            NO_ID  0.01672576018              0            0.4            0.4           0.08           0.08             15            0.5   -55.26702059 
10           NO_ID 0.004464419441              0            0.4            0.4           0.08           0.08             15            0.5   -59.35533469 
11           NO_ID 0.001393812058              0            0.4            0.4           0.08           0.08             15            0.5   -60.56935637 
12           NO_ID 0.001785762291              0            0.5            0.4           0.08           0.08             15            0.5   -59.66068697 
13           NO_ID 0.001444588638              0   0.4129548538            0.4           0.08           0.08             15            0.5   -60.67125137 
14           NO_ID 7.359406461e-05              0   0.4391450956            0.4           0.08           0.08             15            0.5   -60.39389969 
15           NO_ID 0.0008234998671              0   0.4248195726            0.4           0.08           0.08             15            0.5   -60.87566648 
16           NO_ID 0.0003629076318              0     0.45184833            0.4           0.08           0.08             15            0.5   -60.33152228 
17           NO_ID 0.0007168316361              0   0.4310791435            0.4           0.08           0.08             15            0.5   -61.03218209 
18           NO_ID 0.000379874108              0   0.4372039457            0.4           0.08           0.08             15            0.5   -60.71633171 
19           NO_ID 0.0006565946247              0   0.4321740583            0.4           0.08           0.08             15            0.5   -61.03672295 
20           NO_ID 0.0002401061214              0   0.4412785686            0.4           0.08           0.08             15            0.5   -60.29621445 
21           NO_ID 0.0006141329654              0   0.4331022775            0.4           0.08           0.08             15            0.5   -61.05433255 
22           NO_ID 0.0002341337829              0   0.4329903242            0.4           0.08           0.08             15            0.5    -60.3002936 
23           NO_ID 0.0005761330472              0   0.4330910821            0.4           0.08           0.08             15            0.5   -60.85852119 
24           NO_ID 0.0006103329736              0   0.4331011579            0.4           0.08           0.08             15            0.5   -61.06613525 
25           NO_ID 0.0002127015751              0   0.4329736313            0.4           0.08           0.08             15            0.5   -60.40647465 
26           NO_ID 0.000568755445              0   0.4330878234            0.4           0.08           0.08             15            0.5   -60.86771783 
27           NO_ID 0.0006061752208              0   0.4330998245            0.4           0.08           0.08             15            0.5   -61.05603274 
28           NO_ID 0.0006099171983              0   0.4331010246            0.4           0.08           0.08             15            0.5   -61.06015078 
29           NO_ID 0.0006102913961              0   0.4331011446            0.4           0.08           0.08             15            0.5    -61.060324 
best NO_ID 6.1033297362e-04 0.0000000000e+00 4.3310115793e-01 4.0000000000e-01 8.0000000000e-02 8.0000000000e-02 1.5000000000e+01 5.0000000000e-01 -6.1066135253e+01
