"Normals:0","Normals:1","Normals:2","VELOCITY_1","VELOCITY_2","VELOCITY_3","VELOCITY_4","VELOCITY_5","VELOCITY_6","VELOCITY_7","VELOCITY_8","VELOCITY_9","VELOCITY_10","VELOCITY_11","VELOCITY_12","VELOCITY_13","VELOCITY_14","VELOCITY_15","VELOCITY_16","VELOCITY_17","VELOCITY_18","VELOCITY_19","VELOCITY_20","VELOCITY_21","CP_1","CP_2","CP_3","CP_4","CP_5","CP_6","CP_7","CP_8","CP_9","CP_10","CP_11","CP_12","CP_13","CP_14","CP_15","CP_16","CP_17","CP_18","CP_19","CP_20","CP_21","DIPOLE_1","DIPOLE_2","DIPOLE_3","DIPOLE_4","DIPOLE_5","DIPOLE_6","DIPOLE_7","DIPOLE_8","DIPOLE_9","DIPOLE_10","DIPOLE_11","DIPOLE_12","DIPOLE_13","DIPOLE_14","DIPOLE_15","DIPOLE_16","DIPOLE_17","DIPOLE_18","DIPOLE_19","DIPOLE_20","DIPOLE_21","SOURCE_1","SOURCE_2","SOURCE_3","SOURCE_4","SOURCE_5","SOURCE_6","SOURCE_7","SOURCE_8","SOURCE_9","SOURCE_10","SOURCE_11","SOURCE_12","SOURCE_13","SOURCE_14","SOURCE_15","SOURCE_16","SOURCE_17","SOURCE_18","SOURCE_19","SOURCE_20","SOURCE_21","Points:0","Points:1","Points:2"
0.096406,0,-0.00026,6.1412,6.1589,6.1746,6.1885,6.2005,6.2106,6.2188,6.2251,6.2295,6.232,6.2326,6.2313,6.2281,6.2231,6.2161,6.2072,6.1965,6.1838,6.1693,6.1529,6.1346,-0.017598,-0.021235,-0.02454,-0.027405,-0.029906,-0.031984,-0.033666,-0.034938,-0.035805,-0.036262,-0.036312,-0.035951,-0.035181,-0.034009,-0.032427,-0.03044,-0.028059,-0.025255,-0.022066,-0.018467,-0.014524,-0.12733,-0.12774,-0.1281,-0.12843,-0.12872,-0.12897,-0.12918,-0.12935,-0.12948,-0.12957,-0.12962,-0.12963,-0.1296,-0.12954,-0.12943,-0.12929,-0.1291,-0.12888,-0.12861,-0.12831,-0.12797,0.58155,0.58322,0.58472,0.58604,0.58718,0.58814,0.58892,0.58952,0.58994,0.59018,0.59024,0.59012,0.58983,0.58935,0.58869,0.58786,0.58684,0.58565,0.58428,0.58273,0.581,1,0,1.1102e-17
0.093612,0,-0.99559,6.7376,6.6947,6.6513,6.6043,6.557,6.5065,6.4544,6.4003,6.3441,6.2859,6.2261,6.1648,6.1011,6.0349,5.9676,5.8984,5.8271,5.755,5.6807,5.6051,5.5264,-0.21114,-0.19575,-0.18031,-0.16367,-0.14704,-0.12943,-0.11143,-0.092849,-0.073747,-0.054128,-0.034162,-0.013875,0.0069489,0.028384,0.049936,0.071865,0.094145,0.11644,0.13911,0.16186,0.18523,-1.5183,-1.3796,-1.2405,-1.1009,-0.96112,-0.82099,-0.68062,-0.53999,-0.39924,-0.25836,-0.1174,0.023589,0.16457,0.30554,0.44637,0.58708,0.72763,0.86792,1.008,1.1477,1.2871,1.6229,1.5196,1.4159,1.3117,1.2071,1.1022,0.99693,0.89136,0.78551,0.67943,0.57313,0.46667,0.36006,0.25334,0.14654,0.0397,-0.067153,-0.17399,-0.28077,-0.38746,-0.49404,0.99897,0,-9.6853e-05
0.093247,0,-0.99562,6.6609,6.6224,6.5834,6.5408,6.4978,6.4517,6.4041,6.3544,6.3028,6.249,6.1937,6.1368,6.0777,6.0161,5.9533,5.8886,5.8219,5.7542,5.6844,5.6133,5.5392,-0.18363,-0.16999,-0.15624,-0.14133,-0.12637,-0.11047,-0.094144,-0.077223,-0.059772,-0.041787,-0.023424,-0.0047111,0.014552,0.034443,0.054488,0.07494,0.095775,0.11667,0.13797,0.15939,0.18145,-1.5226,-1.3837,-1.2444,-1.1046,-0.96458,-0.82424,-0.68366,-0.54283,-0.40186,-0.26077,-0.1196,0.0216,0.16279,0.30398,0.44502,0.58594,0.72671,0.86721,1.0075,1.1474,1.287,1.6207,1.5174,1.4137,1.3095,1.2049,1.1,0.99472,0.88914,0.78329,0.6772,0.5709,0.46443,0.35782,0.2511,0.1443,0.037458,-0.069395,-0.17623,-0.28301,-0.3897,-0.49627,0.9959,0,-0.00038625
0.092647,0,-0.99568,6.6202,6.5832,6.5456,6.5046,6.4631,6.4186,6.3725,6.3243,6.2742,6.2221,6.1683,6.1129,6.0554,5.9954,5.9342,5.8711,5.806,5.7399,5.6717,5.6022,5.5297,-0.16922,-0.1562,-0.14303,-0.12875,-0.11437,-0.099086,-0.083359,-0.067039,-0.050189,-0.032809,-0.015036,0.0031014,0.021781,0.041076,0.060551,0.080432,0.1007,0.12107,0.14182,0.16274,0.18425,-1.5269,-1.3878,-1.2484,-1.1085,-0.96836,-0.82788,-0.68717,-0.5462,-0.4051,-0.26387,-0.12256,0.018786,0.16012,0.30145,0.44263,0.5837,0.72461,0.86526,1.0057,1.1457,1.2855,1.6172,1.5139,1.4101,1.3059,1.2013,1.0964,0.99108,0.88549,0.77963,0.67353,0.56722,0.46075,0.35413,0.24741,0.14061,0.033765,-0.073088,-0.17992,-0.28669,-0.39338,-0.49995,0.99078,0,-0.00086475
0.091821,0,-0.99576,6.5758,6.5411,6.5056,6.4668,6.4274,6.3852,6.3413,6.2954,6.2475,6.1976,6.1461,6.093,6.0377,5.98,5.9211,5.8603,5.7975,5.7337,5.6678,5.6005,5.5304,-0.15358,-0.14143,-0.12908,-0.11567,-0.10211,-0.087669,-0.072775,-0.057287,-0.041268,-0.024713,-0.0077486,0.0096007,0.027487,0.04598,0.064683,0.083805,0.10332,0.12297,0.14301,0.16325,0.18406,-1.531,-1.3919,-1.2524,-1.1124,-0.9722,-0.83165,-0.69085,-0.5498,-0.40862,-0.2673,-0.12591,0.015525,0.15695,0.29836,0.43964,0.5808,0.7218,0.86254,1.003,1.1432,1.2831,1.6123,1.5089,1.4052,1.3009,1.1963,1.0914,0.98607,0.88046,0.77459,0.66848,0.56217,0.45568,0.34906,0.24233,0.13553,0.028686,-0.078167,-0.185,-0.29177,-0.39845,-0.50501,0.98365,0,-0.0015267
0.090782,0,-0.99585,6.5358,6.5034,6.4702,6.4338,6.3966,6.3567,6.3152,6.2715,6.226,6.1785,6.1294,6.0786,6.0256,5.9704,5.9138,5.8554,5.795,5.7335,5.6699,5.6049,5.5373,-0.13959,-0.12834,-0.11682,-0.10429,-0.091564,-0.07799,-0.063946,-0.049302,-0.034127,-0.018407,-0.0022637,0.014286,0.031371,0.049056,0.066982,0.085339,0.1041,0.12303,0.14235,0.16191,0.18202,-1.5347,-1.3956,-1.2561,-1.1161,-0.97582,-0.83525,-0.69443,-0.55336,-0.41214,-0.2708,-0.12938,0.012078,0.15353,0.29497,0.43628,0.57747,0.7185,0.85928,0.99981,1.14,1.2799,1.6061,1.5028,1.3989,1.2947,1.1901,1.0851,0.97976,0.87414,0.76825,0.66213,0.55581,0.44932,0.34269,0.23595,0.12915,0.0223,-0.084552,-0.19138,-0.29815,-0.40482,-0.51138,0.97453,0,-0.0023645
0.089547,0,-0.99596,6.5045,6.4742,6.443,6.4087,6.3736,6.3358,6.2964,6.2549,6.2115,6.1661,6.1191,6.0704,6.0196,5.9665,5.9121,5.8558,5.7976,5.7381,5.6767,5.6138,5.5483,-0.12869,-0.11823,-0.10745,-0.09571,-0.083726,-0.070917,-0.057628,-0.043732,-0.029303,-0.014325,0.0010954,0.016939,0.033318,0.05029,0.067532,0.085215,0.10331,0.12161,0.14031,0.15927,0.17875,-1.5377,-1.3986,-1.2591,-1.1192,-0.97897,-0.83843,-0.69766,-0.55663,-0.41546,-0.27416,-0.13278,0.0086428,0.15006,0.29146,0.43274,0.57389,0.71489,0.85564,0.99613,1.1363,1.2762,1.5988,1.4954,1.3916,1.2873,1.1826,1.0776,0.97227,0.86663,0.76072,0.65458,0.54825,0.44174,0.33511,0.22836,0.12155,0.014708,-0.092144,-0.19897,-0.30573,-0.4124,-0.51894,0.96347,0,-0.0033686
0.088134,0,-0.99609,6.4839,6.4554,6.4257,6.3932,6.3597,6.3237,6.2859,6.2461,6.2044,6.1608,6.1155,6.0684,6.0193,5.968,5.9153,5.8607,5.8042,5.7464,5.6867,5.6254,5.5617,-0.12156,-0.11172,-0.10153,-0.090418,-0.079015,-0.06681,-0.054117,-0.04081,-0.026966,-0.012571,0.002284,0.017577,0.033403,0.049816,0.066524,0.083684,0.10126,0.11907,0.13729,0.15579,0.1748,-1.5396,-1.4007,-1.2613,-1.1215,-0.9814,-0.84099,-0.70033,-0.55942,-0.41837,-0.27719,-0.13593,0.0053797,0.14668,0.28797,0.42913,0.57017,0.71106,0.8517,0.99208,1.1322,1.2719,1.5904,1.487,1.3831,1.2788,1.1741,1.0691,0.96369,0.85803,0.7521,0.64594,0.53959,0.43308,0.32643,0.21968,0.11287,0.0060189,-0.10083,-0.20765,-0.31441,-0.42107,-0.5276,0.9505,0,-0.0045279
0.08656,0,-0.99623,6.4745,6.4473,6.4187,6.3875,6.3551,6.3203,6.2837,6.2451,6.2046,6.1622,6.118,6.0721,6.0242,5.9741,5.9226,5.8691,5.8138,5.7572,5.6986,5.6384,5.5759,-0.11832,-0.10893,-0.099131,-0.088457,-0.077447,-0.065659,-0.053368,-0.040463,-0.027015,-0.013016,0.0014579,0.016385,0.031841,0.047875,0.064229,0.081039,0.098269,0.11577,0.13367,0.15186,0.17056,-1.5403,-1.4016,-1.2624,-1.1228,-0.98292,-0.84271,-0.70226,-0.56156,-0.42072,-0.27974,-0.13868,0.0024211,0.14352,0.2846,0.42557,0.56641,0.7071,0.84754,0.98773,1.1276,1.2672,1.5811,1.4776,1.3737,1.2693,1.1646,1.0595,0.95414,0.84845,0.7425,0.63633,0.52996,0.42343,0.31677,0.21002,0.1032,-0.0036501,-0.1105,-0.21731,-0.32406,-0.43071,-0.53723,0.93567,0,-0.0058302
0.084846,0,-0.99638,6.476,6.4495,6.4215,6.391,6.3592,6.325,6.289,6.2511,6.2112,6.1694,6.1259,6.0806,6.0333,5.9839,5.9329,5.8801,5.8255,5.7694,5.7113,5.6518,5.5899,-0.11883,-0.10968,-0.10008,-0.08964,-0.07882,-0.067247,-0.055156,-0.042454,-0.029205,-0.015403,-0.0011169,0.013636,0.028914,0.044761,0.06095,0.077592,0.094659,0.11202,0.12978,0.14785,0.16639,-1.5395,-1.4011,-1.2622,-1.1229,-0.98334,-0.84344,-0.7033,-0.5629,-0.42236,-0.28168,-0.14093,-0.00012178,0.14068,0.28146,0.42213,0.56267,0.70307,0.84321,0.98311,1.1227,1.262,1.5709,1.4674,1.3634,1.259,1.1543,1.0492,0.94373,0.83802,0.73205,0.62585,0.51947,0.41292,0.30625,0.19949,0.092668,-0.014184,-0.12103,-0.22784,-0.33458,-0.44122,-0.54773,0.91906,0,-0.007262
