"Normals:0","Normals:1","Normals:2","VELOCITY_1","VELOCITY_2","VELOCITY_3","VELOCITY_4","VELOCITY_5","VELOCITY_6","VELOCITY_7","VELOCITY_8","VELOCITY_9","VELOCITY_10","VELOCITY_11","VELOCITY_12","VELOCITY_13","VELOCITY_14","VELOCITY_15","VELOCITY_16","VELOCITY_17","VELOCITY_18","VELOCITY_19","VELOCITY_20","VELOCITY_21","CP_1","CP_2","CP_3","CP_4","CP_5","CP_6","CP_7","CP_8","CP_9","CP_10","CP_11","CP_12","CP_13","CP_14","CP_15","CP_16","CP_17","CP_18","CP_19","CP_20","CP_21","DIPOLE_1","DIPOLE_2","DIPOLE_3","DIPOLE_4","DIPOLE_5","DIPOLE_6","DIPOLE_7","DIPOLE_8","DIPOLE_9","DIPOLE_10","DIPOLE_11","DIPOLE_12","DIPOLE_13","DIPOLE_14","DIPOLE_15","DIPOLE_16","DIPOLE_17","DIPOLE_18","DIPOLE_19","DIPOLE_20","DIPOLE_21","SOURCE_1","SOURCE_2","SOURCE_3","SOURCE_4","SOURCE_5","SOURCE_6","SOURCE_7","SOURCE_8","SOURCE_9","SOURCE_10","SOURCE_11","SOURCE_12","SOURCE_13","SOURCE_14","SOURCE_15","SOURCE_16","SOURCE_17","SOURCE_18","SOURCE_19","SOURCE_20","SOURCE_21","Points:0","Points:1","Points:2"
0.096398,0,-0.00020084,6.1399,6.1576,6.1735,6.1875,6.1997,6.2099,6.2183,6.2247,6.2293,6.2319,6.2327,6.2316,6.2285,6.2236,6.2168,6.208,6.1974,6.1849,6.1706,6.1543,6.1362,-0.01709,-0.020722,-0.023976,-0.026881,-0.029373,-0.031522,-0.033267,-0.03462,-0.035584,-0.03616,-0.036343,-0.036137,-0.035537,-0.034547,-0.033164,-0.031389,-0.029248,-0.026695,-0.023789,-0.020479,-0.016856,-0.12741,-0.1278,-0.12816,-0.12848,-0.12876,-0.129,-0.1292,-0.12937,-0.12949,-0.12957,-0.12962,-0.12962,-0.12958,-0.12951,-0.1294,-0.12924,-0.12905,-0.12882,-0.12855,-0.12824,-0.12789,0.58144,0.58312,0.58462,0.58594,0.58709,0.58805,0.58884,0.58945,0.58988,0.59012,0.59019,0.59008,0.58979,0.58932,0.58867,0.58784,0.58683,0.58564,0.58428,0.58273,0.58101,1,0,1.1102e-17
0.094212,0,-0.99553,6.7363,6.6914,6.6443,6.596,6.5443,6.4927,6.4382,6.3813,6.3226,6.262,6.1999,6.1352,6.0694,6.0015,5.9318,5.8606,5.7866,5.7121,5.6347,5.5565,5.4751,-0.21068,-0.19457,-0.1778,-0.16075,-0.1426,-0.12465,-0.10585,-0.08638,-0.066479,-0.04613,-0.02548,-0.0041794,0.017246,0.039128,0.061318,0.083718,0.10671,0.12957,0.15299,0.17631,0.20028,-1.5264,-1.3873,-1.2478,-1.1078,-0.96757,-0.8271,-0.6863,-0.54531,-0.40414,-0.26286,-0.1215,0.019922,0.16129,0.30263,0.44388,0.58498,0.72595,0.86662,1.0071,1.1473,1.2871,1.6264,1.5232,1.4195,1.3153,1.2108,1.1058,1.0006,0.89501,0.78917,0.6831,0.57681,0.47035,0.36374,0.25703,0.15023,0.043391,-0.063462,-0.1703,-0.27708,-0.38378,-0.49036,0.99897,0,-9.7269e-05
0.093845,0,-0.99557,6.6609,6.6203,6.5775,6.5336,6.4863,6.439,6.389,6.3365,6.2822,6.2261,6.1685,6.1082,6.0469,5.9834,5.9182,5.8515,5.782,5.712,5.6391,5.5654,5.4886,-0.18363,-0.16924,-0.15419,-0.13882,-0.12239,-0.1061,-0.088964,-0.071152,-0.052886,-0.034153,-0.015089,0.0046341,0.024524,0.044893,0.065599,0.086552,0.10811,0.12959,0.15167,0.17368,0.19635,-1.5305,-1.3912,-1.2515,-1.1114,-0.97095,-0.83029,-0.6893,-0.54811,-0.40674,-0.26527,-0.12371,0.01791,0.15947,0.30102,0.44247,0.58377,0.72494,0.86581,1.0065,1.1469,1.2869,1.6243,1.521,1.4173,1.3131,1.2085,1.1036,0.99835,0.89278,0.78694,0.68085,0.57456,0.4681,0.36149,0.25477,0.14798,0.041136,-0.065718,-0.17255,-0.27933,-0.38603,-0.49261,0.9959,0,-0.00038791
0.093238,0,-0.99562,6.6193,6.5804,6.5394,6.4971,6.4517,6.4061,6.3577,6.307,6.2546,6.2002,6.1443,6.0859,6.0264,5.9647,5.9013,5.8363,5.7687,5.7005,5.6294,5.5576,5.4826,-0.1689,-0.1552,-0.14086,-0.12616,-0.11045,-0.094802,-0.078338,-0.061217,-0.043627,-0.025568,-0.0071617,0.011889,0.031139,0.050864,0.070941,0.09128,0.11221,0.13309,0.15457,0.17602,0.19809,-1.5347,-1.3953,-1.2555,-1.1153,-0.97467,-0.83388,-0.69277,-0.55145,-0.40996,-0.26836,-0.12668,0.015073,0.15677,0.29844,0.44003,0.58145,0.72276,0.86377,1.0046,1.1451,1.2852,1.6207,1.5174,1.4136,1.3095,1.2049,1.0999,0.99467,0.88908,0.78323,0.67714,0.57084,0.46437,0.35776,0.25104,0.14424,0.0374,-0.069453,-0.17628,-0.28306,-0.38976,-0.49633,0.99078,0,-0.00086845
0.092403,0,-0.9957,6.5744,6.5379,6.4994,6.4595,6.4165,6.3733,6.3273,6.2791,6.2291,6.1773,6.1238,6.0679,6.0108,5.9516,5.8907,5.8282,5.7632,5.6974,5.6289,5.5594,5.4871,-0.15311,-0.14034,-0.12694,-0.11314,-0.098384,-0.083622,-0.068058,-0.051848,-0.035156,-0.017986,-0.00044812,0.017724,0.036131,0.055015,0.074267,0.093807,0.11392,0.13404,0.15474,0.17546,0.19677,-1.5388,-1.3993,-1.2594,-1.1191,-0.97846,-0.8376,-0.69641,-0.55503,-0.41347,-0.27179,-0.13003,0.011796,0.15357,0.29532,0.43698,0.57849,0.71988,0.86097,1.0019,1.1424,1.2827,1.6157,1.5124,1.4086,1.3044,1.1999,1.0949,0.9896,0.884,0.77814,0.67204,0.56573,0.45925,0.35264,0.24591,0.13911,0.032267,-0.074586,-0.18142,-0.28819,-0.39488,-0.50145,0.98365,0,-0.0015332
0.091353,0,-0.9958,6.5345,6.5005,6.4645,6.427,6.3866,6.3458,6.3023,6.2567,6.2092,6.1599,6.109,6.0557,6.0011,5.9444,5.886,5.826,5.7636,5.7003,5.6344,5.5675,5.4978,-0.13914,-0.12731,-0.11485,-0.10197,-0.088164,-0.074292,-0.059632,-0.044335,-0.028546,-0.012266,0.0044038,0.0217,0.039262,0.05731,0.075738,0.094481,0.11379,0.13315,0.15308,0.17307,0.19364,-1.5424,-1.4029,-1.263,-1.1227,-0.98201,-0.84114,-0.69994,-0.55855,-0.41697,-0.27528,-0.1335,0.0083402,0.15013,0.29191,0.43359,0.57512,0.71652,0.85764,0.99859,1.1392,1.2794,1.6095,1.5062,1.4024,1.2981,1.1935,1.0885,0.98323,0.87762,0.77174,0.66562,0.55931,0.45282,0.34619,0.23946,0.13266,0.025812,-0.08104,-0.18787,-0.29464,-0.40132,-0.50788,0.97453,0,-0.0023745
0.090105,0,-0.99591,6.5032,6.4715,6.4378,6.4026,6.3645,6.3259,6.2847,6.2414,6.1963,6.1492,6.1006,6.0497,5.9974,5.943,5.887,5.8293,5.7692,5.7082,5.6446,5.58,5.5127,-0.12825,-0.11727,-0.10566,-0.093597,-0.080648,-0.06757,-0.053722,-0.039242,-0.024258,-0.008774,0.0071198,0.023634,0.040445,0.057746,0.075444,0.093477,0.11207,0.13076,0.15001,0.16936,0.18927,-1.5452,-1.4058,-1.2659,-1.1257,-0.98509,-0.84427,-0.70312,-0.56178,-0.42026,-0.27862,-0.13689,0.0048989,0.14664,0.28837,0.43,0.57149,0.71285,0.85393,0.99483,1.1354,1.2756,1.6021,1.4987,1.3949,1.2906,1.186,1.081,0.97565,0.87002,0.76412,0.65799,0.55166,0.44516,0.33853,0.23179,0.12498,0.018135,-0.088717,-0.19554,-0.30231,-0.40898,-0.51553,0.96347,0,-0.0033827
0.088675,0,-0.99604,6.4829,6.453,6.4212,6.3878,6.3517,6.3149,6.2756,6.2342,6.1909,6.1458,6.099,6.05,5.9995,5.9471,5.8929,5.837,5.7788,5.7196,5.658,5.5952,5.5298,-0.12121,-0.1109,-0.099974,-0.088563,-0.076303,-0.063853,-0.050654,-0.036827,-0.022484,-0.0076334,0.0076463,0.023538,0.039755,0.056465,0.073589,0.091066,0.10909,0.12725,0.14597,0.16482,0.18422,-1.547,-1.4077,-1.268,-1.1279,-0.98744,-0.84675,-0.70574,-0.56453,-0.42313,-0.28162,-0.14003,0.001636,0.14326,0.28486,0.42637,0.56773,0.70897,0.84993,0.9907,1.1311,1.2712,1.5936,1.4902,1.3863,1.282,1.1774,1.0723,0.96698,0.86132,0.7554,0.64925,0.54291,0.4364,0.32975,0.22301,0.1162,0.0093474,-0.097503,-0.20432,-0.31108,-0.41775,-0.52428,0.95049,0,-0.0045468
0.087083,0,-0.99618,6.4739,6.4454,6.415,6.3829,6.3482,6.3127,6.2747,6.2346,6.1927,6.149,6.1035,6.0559,6.0067,5.9556,5.9027,5.8482,5.7914,5.7335,5.6732,5.6116,5.5477,-0.11811,-0.10828,-0.097838,-0.08689,-0.075115,-0.063105,-0.050356,-0.036987,-0.02309,-0.0086807,0.0061762,0.021636,0.037445,0.053752,0.070481,0.087582,0.10522,0.12303,0.14138,0.1599,0.17893,-1.5476,-1.4085,-1.269,-1.1291,-0.98888,-0.8484,-0.70761,-0.56661,-0.42544,-0.28414,-0.14276,-0.0013136,0.14009,0.28148,0.42278,0.56394,0.70496,0.84571,0.98628,1.1265,1.2664,1.5842,1.4807,1.3768,1.2725,1.1678,1.0627,0.95732,0.85163,0.74569,0.63953,0.53316,0.42664,0.31998,0.21323,0.10641,-0.00043511,-0.10728,-0.2141,-0.32085,-0.42751,-0.53403,0.93567,0,-0.0058544
0.085349,0,-0.99633,6.4758,6.4481,6.4185,6.3872,6.3534,6.3185,6.2813,6.2421,6.2009,6.1579,6.1132,6.0664,6.018,5.9677,5.9155,5.8617,5.8057,5.7485,5.6889,5.6281,5.565,-0.11876,-0.10921,-0.099044,-0.08835,-0.076856,-0.065076,-0.052573,-0.039454,-0.025802,-0.01163,0.0030032,0.018232,0.033829,0.049927,0.066452,0.08336,0.10079,0.11844,0.1366,0.15496,0.17381,-1.5466,-1.4079,-1.2687,-1.1291,-0.98921,-0.84905,-0.70857,-0.56789,-0.42703,-0.28605,-0.14498,-0.0038401,0.13726,0.27833,0.41932,0.56017,0.70089,0.84134,0.9816,1.1215,1.2611,1.5739,1.4704,1.3664,1.2621,1.1573,1.0522,0.94679,0.84108,0.73511,0.62892,0.52254,0.416,0.30934,0.20258,0.095756,-0.011096,-0.11794,-0.22476,-0.3315,-0.43814,-0.54465,0.91906,0,-0.0072918
