"Normals:0","Normals:1","Normals:2","VELOCITY_1","VELOCITY_2","VELOCITY_3","VELOCITY_4","VELOCITY_5","VELOCITY_6","VELOCITY_7","VELOCITY_8","VELOCITY_9","VELOCITY_10","VELOCITY_11","CP_1","CP_2","CP_3","CP_4","CP_5","CP_6","CP_7","CP_8","CP_9","CP_10","CP_11","DIPOLE_1","DIPOLE_2","DIPOLE_3","DIPOLE_4","DIPOLE_5","DIPOLE_6","DIPOLE_7","DIPOLE_8","DIPOLE_9","DIPOLE_10","DIPOLE_11","SOURCE_1","SOURCE_2","SOURCE_3","SOURCE_4","SOURCE_5","SOURCE_6","SOURCE_7","SOURCE_8","SOURCE_9","SOURCE_10","SOURCE_11","Points:0","Points:1","Points:2"
0.15559,0,-0.052386,5.3758,5.3381,5.2988,5.2578,5.2151,5.1712,5.1255,5.0782,5.0294,4.9791,4.9276,0.067765,0.077374,0.087415,0.097782,0.10861,0.12,0.13169,0.14366,0.15603,0.16874,0.1821,-0.3494,-0.35609,-0.36266,-0.36914,-0.37549,-0.38173,-0.38785,-0.39386,-0.39975,-0.40552,-0.41115,0.97692,0.97265,0.96807,0.96321,0.95805,0.95259,0.94685,0.94082,0.9345,0.9279,0.92102,1,0,2.0452e-17
-0.15789,0,-0.98742,7.8091,7.7768,7.7417,7.7053,7.6664,7.6236,7.5795,7.5333,7.4851,7.4339,7.3787,-0.62725,-0.61392,-0.5996,-0.5848,-0.56907,-0.55187,-0.53421,-0.51593,-0.49691,-0.47693,-0.45546,0.57553,0.74373,0.91165,1.0794,1.2468,1.4138,1.5803,1.7463,1.912,2.0769,2.2411,-0.43609,-0.5426,-0.64894,-0.75509,-0.86101,-0.96666,-1.072,-1.1771,-1.2817,-1.386,-1.4899,0.99904,0,0.00016867
-0.15687,0,-0.98758,7.7174,7.6826,7.6453,7.6065,7.5653,7.5204,7.474,7.4257,7.3752,7.322,7.2649,-0.5893,-0.57513,-0.56,-0.54441,-0.5279,-0.51001,-0.49166,-0.47271,-0.45305,-0.43248,-0.41052,0.57132,0.7396,0.9076,1.0754,1.2429,1.4099,1.5765,1.7427,1.9084,2.0734,2.2377,-0.42979,-0.53631,-0.64266,-0.74882,-0.85475,-0.96043,-1.0658,-1.1709,-1.2756,-1.3799,-1.4838,0.99614,0,0.00067204
-0.15517,0,-0.98785,7.5563,7.5212,7.4836,7.4446,7.4031,7.3581,7.3116,7.2632,7.2127,7.1595,7.1027,-0.5237,-0.50966,-0.49471,-0.4793,-0.463,-0.44544,-0.42739,-0.40878,-0.38947,-0.36932,-0.34791,0.56486,0.73319,0.90125,1.0692,1.2366,1.4038,1.5704,1.7367,1.9024,2.0675,2.2319,-0.41927,-0.52581,-0.63218,-0.73836,-0.84432,-0.95001,-1.0554,-1.1605,-1.2652,-1.3696,-1.4735,0.99133,0,0.0015021
-0.15279,0,-0.98823,7.3652,7.33,7.2925,7.2534,7.2121,7.1674,7.1211,7.0731,7.0229,6.9702,6.9141,-0.44759,-0.43388,-0.41931,-0.40426,-0.38839,-0.37137,-0.35385,-0.33579,-0.31708,-0.29757,-0.27693,0.55661,0.72498,0.89308,1.061,1.2286,1.3957,1.5624,1.7287,1.8945,2.0597,2.2242,-0.40458,-0.51113,-0.61753,-0.72374,-0.82973,-0.93547,-1.0409,-1.146,-1.2508,-1.3552,-1.4592,0.98462,0,0.0026457
-0.14974,0,-0.98869,7.1615,7.1264,7.089,7.05,7.0088,6.9645,6.9186,6.8709,6.8212,6.769,6.7136,-0.36863,-0.3553,-0.34116,-0.32653,-0.31114,-0.29472,-0.27781,-0.26036,-0.2423,-0.22349,-0.2037,0.54677,0.71514,0.88324,1.0512,1.2187,1.3859,1.5526,1.7189,1.8848,2.0499,2.2144,-0.38574,-0.49231,-0.59874,-0.70499,-0.81102,-0.9168,-1.0223,-1.1275,-1.2323,-1.3368,-1.4409,0.97601,0,0.0040845
-0.14603,0,-0.98925,6.9583,6.9231,6.8857,6.8467,6.8056,6.7616,6.7159,6.6685,6.6191,6.5673,6.5127,-0.29202,-0.27903,-0.26529,-0.25107,-0.23613,-0.22026,-0.20391,-0.18704,-0.16961,-0.15147,-0.13248,0.53539,0.70371,0.87176,1.0397,1.2072,1.3743,1.541,1.7073,1.8731,2.0382,2.2027,-0.36279,-0.46939,-0.57586,-0.68214,-0.78822,-0.89406,-0.99963,-1.1049,-1.2098,-1.3144,-1.4185,0.96554,0,0.0057953
-0.14166,0,-0.98989,6.7643,6.7289,6.6913,6.6521,6.6109,6.5669,6.5214,6.474,6.4247,6.3732,6.319,-0.22095,-0.20823,-0.19481,-0.1809,-0.16633,-0.15092,-0.13505,-0.11867,-0.10177,-0.084231,-0.065933,0.52248,0.69068,0.85863,1.0264,1.1938,1.3609,1.5275,1.6936,1.8594,2.0244,2.1888,-0.3358,-0.44244,-0.54894,-0.65528,-0.76141,-0.86731,-0.97295,-1.0783,-1.1833,-1.288,-1.3922,0.95323,0,0.0077503
-0.13665,0,-0.9906,6.585,6.5491,6.5111,6.4715,6.4298,6.3857,6.3399,6.2924,6.2429,6.1914,6.1373,-0.15703,-0.14447,-0.13126,-0.11755,-0.10325,-0.088188,-0.072672,-0.056682,-0.040187,-0.023119,-0.0053779,0.50804,0.67606,0.84383,1.0114,1.1787,1.3455,1.512,1.678,1.8436,2.0085,2.1727,-0.30487,-0.41154,-0.51808,-0.62447,-0.73067,-0.83664,-0.94236,-1.0478,-1.1529,-1.2577,-1.362,0.93912,0,0.0099173
-0.13102,0,-0.99136,6.4228,6.3861,6.3474,6.3071,6.2648,6.2201,6.1738,6.1258,6.0759,6.024,5.9698,-0.10069,-0.08817,-0.075042,-0.061437,-0.047271,-0.032428,-0.017132,-0.001396,0.014819,0.031553,0.048876,0.4921,0.65985,0.82735,0.99469,1.1617,1.3283,1.4945,1.6603,1.8256,1.9903,2.1543,-0.27011,-0.37682,-0.48341,-0.58985,-0.69611,-0.80216,-0.90797,-1.0135,-1.1187,-1.2236,-1.3281,0.92326,0,0.01226
-0.12479,0,-0.99217,6.2782,6.2405,6.2008,6.1595,6.1162,6.0708,6.0237,5.9749,5.9242,5.8716,5.8169,-0.051654,-0.039073,-0.025914,-0.0123,0.0018462,0.016603,0.031795,0.047406,0.063462,0.079994,0.097047,0.47469,0.64207,0.80921,0.97619,1.1428,1.3091,1.475,1.6404,1.8054,1.9698,2.1335,-0.2317,-0.33844,-0.44507,-0.55157,-0.6579,-0.76404,-0.86993,-0.97557,-1.0809,-1.1859,-1.2906,0.90568,0,0.01474
-0.118,0,-0.993,6.1509,6.1119,6.071,6.0284,5.984,5.9374,5.8892,5.8393,5.7876,5.7341,5.6785,-0.0094147,0.0033376,0.016629,0.030364,0.044591,0.059387,0.074588,0.090185,0.10621,0.12266,0.13958,0.45586,0.62276,0.78943,0.95595,1.1221,1.288,1.4534,1.6183,1.7829,1.9469,2.1102,-0.18985,-0.29662,-0.4033,-0.50986,-0.61626,-0.72247,-0.82847,-0.93421,-1.0397,-1.1448,-1.2496,0.88644,0,0.017315
-0.1107,0,-0.99384,6.04,5.9994,5.957,5.9129,5.867,5.8191,5.7695,5.7183,5.6653,5.6104,5.5537,0.026673,0.039699,0.05322,0.067181,0.081594,0.096534,0.11186,0.12755,0.14364,0.16012,0.17702,0.43568,0.60198,0.76806,0.93399,1.0996,1.2649,1.4297,1.5941,1.7582,1.9216,2.0843,-0.14483,-0.25163,-0.35835,-0.46496,-0.57144,-0.67773,-0.78382,-0.88967,-0.99526,-1.1005,-1.2055,0.86561,0,0.019941
-0.10292,0,-0.99468,5.9445,5.9021,5.858,5.8121,5.7645,5.7149,5.6637,5.6108,5.5562,5.4998,5.4416,0.057226,0.070613,0.084465,0.098745,0.11344,0.12863,0.14417,0.16006,0.17632,0.19295,0.20993,0.41424,0.57982,0.74518,0.9104,1.0753,1.2399,1.404,1.5678,1.7311,1.8938,2.056,-0.096969,-0.20379,-0.31055,-0.41722,-0.52376,-0.63014,-0.73632,-0.84228,-0.94799,-1.0534,-1.1585,0.84325,0,0.022575
-0.094745,0,-0.99549,5.8633,5.8189,5.7727,5.7248,5.6752,5.6237,5.5706,5.5158,5.4594,5.4012,5.3412,0.082838,0.096672,0.11095,0.12563,0.14071,0.15623,0.17209,0.18828,0.20481,0.22166,0.23884,0.39168,0.55639,0.7209,0.88525,1.0493,1.213,1.3763,1.5393,1.7018,1.8637,2.0251,-0.046661,-0.1535,-0.26029,-0.36701,-0.47361,-0.58007,-0.68635,-0.79242,-0.89825,-1.0038,-1.1091,0.81944,0,0.025171
-0.086239,0,-0.99626,5.7951,5.7485,5.7001,5.6499,5.5981,5.5445,5.4892,5.4323,5.3737,5.3135,5.2515,0.10404,0.1184,0.13319,0.14836,0.1639,0.17985,0.19612,0.21268,0.22957,0.24674,0.26421,0.36817,0.53185,0.69534,0.85869,1.0217,1.1845,1.3468,1.5088,1.6703,1.8313,1.9917,0.0056295,-0.10122,-0.20804,-0.3148,-0.42146,-0.52799,-0.63436,-0.74054,-0.8465,-0.95219,-1.0576,0.79426,0,0.027686
-0.077491,0,-0.99698,5.7393,5.6902,5.6393,5.5867,5.5324,5.4764,5.4187,5.3595,5.2985,5.2359,5.1717,0.12122,0.1362,0.15159,0.16733,0.18342,0.19988,0.21664,0.23368,0.251,0.26859,0.28642,0.34387,0.50637,0.66869,0.83087,0.99274,1.1543,1.3155,1.4764,1.6368,1.7967,1.956,0.059369,-0.047485,-0.15433,-0.26112,-0.36783,-0.47443,-0.58089,-0.68717,-0.79324,-0.89907,-1.0046,0.76781,0,0.030081
-0.068598,0,-0.99763,5.6951,5.6432,5.5896,5.5343,5.4774,5.4186,5.3583,5.2964,5.2329,5.1677,5.1009,0.13473,0.15042,0.16648,0.18288,0.19961,0.21667,0.23401,0.2516,0.26945,0.28753,0.30582,0.31902,0.48017,0.64113,0.80197,0.96251,1.1228,1.2827,1.4422,1.6014,1.7599,1.918,0.11395,0.0071058,-0.099745,-0.20657,-0.31332,-0.41999,-0.52652,-0.63289,-0.73908,-0.84503,-0.95073,0.74017,0,0.032317
-0.059668,0,-0.9982,5.6615,5.6067,5.5501,5.4919,5.432,5.3704,5.3072,5.2424,5.176,5.108,5.0384,0.14489,0.16138,0.17821,0.19536,0.2128,0.23056,0.24856,0.26679,0.28525,0.3039,0.32274,0.29385,0.45346,0.6129,0.77222,0.93125,1.09,1.2484,1.4065,1.5641,1.7213,1.8779,0.16872,0.061886,-0.044968,-0.15181,-0.2586,-0.36532,-0.47192,-0.57838,-0.68466,-0.79074,-0.89657,0.71145,0,0.034364
-0.050821,0,-0.99869,5.6381,5.5801,5.5203,5.4589,5.3958,5.331,5.2647,5.1967,5.1272,5.056,4.9834,0.15196,0.16933,0.18702,0.20501,0.22327,0.24181,0.26056,0.27952,0.29868,0.318,0.33746,0.26862,0.42651,0.58423,0.74184,0.89918,1.0563,1.213,1.3694,1.5254,1.6809,1.8358,0.22294,0.11613,0.0092843,-0.097566,-0.20439,-0.31115,-0.41781,-0.52435,-0.63072,-0.73691,-0.84287,0.68177,0,0.036193
-0.042181,0,-0.99909,5.6241,5.5626,5.4994,5.4345,5.368,5.2997,5.2299,5.1586,5.0856,5.011,4.935,0.15616,0.17453,0.19318,0.21211,0.23128,0.25069,0.27029,0.29007,0.31001,0.33009,0.35027,0.24361,0.39958,0.55539,0.7111,0.86654,1.0217,1.1766,1.3311,1.4853,1.6389,1.7921,0.27585,0.16907,0.062238,-0.044615,-0.15145,-0.25825,-0.36496,-0.47157,-0.57803,-0.68431,-0.79039,0.65124,0,0.037787
-0.033881,0,-0.9994,5.6187,5.5534,5.4865,5.4178,5.3476,5.2756,5.2021,5.127,5.0503,4.9721,4.8924,0.15778,0.17724,0.19696,0.21693,0.23711,0.2575,0.27805,0.29874,0.31955,0.34047,0.36145,0.21908,0.37293,0.52664,0.68024,0.83359,0.98671,1.1395,1.292,1.4441,1.5957,1.7468,0.32664,0.21989,0.11308,0.006233,-0.10062,-0.20744,-0.31419,-0.42085,-0.52738,-0.63375,-0.73993,0.61997,0,0.039131
-0.02606,0,-0.99963,5.6213,5.5519,5.4809,5.4082,5.3339,5.258,5.1804,5.1013,5.0206,4.9384,4.8546,0.15702,0.17768,0.19858,0.2197,0.24099,0.26246,0.28406,0.30576,0.32755,0.34939,0.37126,0.19531,0.34683,0.49823,0.64952,0.80057,0.95141,1.1019,1.2521,1.402,1.5513,1.7002,0.37447,0.26776,0.16098,0.054141,-0.052711,-0.15955,-0.26634,-0.37304,-0.47964,-0.58608,-0.69235,0.58811,0,0.040224
-0.018855,0,-0.99979,5.631,5.5573,5.4819,5.4048,5.3262,5.2458,5.1639,5.0804,4.9954,4.9088,4.8208,0.15411,0.1761,0.1983,0.22068,0.24321,0.26587,0.28861,0.31142,0.33428,0.35715,0.38001,0.17254,0.32154,0.47041,0.61919,0.76774,0.91607,1.0641,1.2118,1.3592,1.5062,1.6526,0.41849,0.31183,0.20507,0.098255,-0.0085943,-0.11544,-0.22225,-0.329,-0.43564,-0.54215,-0.6485,0.55577,0,0.041068
-0.01241,0,-0.99989,5.6466,5.5682,5.4881,5.4063,5.323,5.2379,5.1513,5.0632,4.9734,4.8822,4.7894,0.14941,0.17287,0.19648,0.22025,0.24411,0.26807,0.29207,0.3161,0.34013,0.36412,0.38804,0.15101,0.29726,0.44341,0.58946,0.7353,0.88093,1.0263,1.1713,1.316,1.4603,1.6041,0.45786,0.35124,0.24452,0.13772,0.030873,-0.075978,-0.18281,-0.28958,-0.39626,-0.50283,-0.60924,0.5231,0,0.041678
-0.0068631,0,-0.99994,5.6665,5.5831,5.498,5.4112,5.3228,5.2327,5.1411,5.0479,4.9531,4.8568,4.7591,0.14338,0.16842,0.19358,0.21884,0.24416,0.26953,0.29489,0.32022,0.34551,0.3707,0.39577,0.13088,0.27419,0.4174,0.56053,0.70345,0.84617,0.98861,1.1308,1.2726,1.414,1.555,0.49172,0.38514,0.27844,0.17166,0.064833,-0.042019,-0.14886,-0.25565,-0.36237,-0.46897,-0.57544,0.49025,0,0.042075
