"Normals:0","Normals:1","Normals:2","VELOCITY_1","VELOCITY_2","VELOCITY_3","VELOCITY_4","VELOCITY_5","VELOCITY_6","VELOCITY_7","VELOCITY_8","VELOCITY_9","VELOCITY_10","VELOCITY_11","CP_1","CP_2","CP_3","CP_4","CP_5","CP_6","CP_7","CP_8","CP_9","CP_10","CP_11","DIPOLE_1","DIPOLE_2","DIPOLE_3","DIPOLE_4","DIPOLE_5","DIPOLE_6","DIPOLE_7","DIPOLE_8","DIPOLE_9","DIPOLE_10","DIPOLE_11","SOURCE_1","SOURCE_2","SOURCE_3","SOURCE_4","SOURCE_5","SOURCE_6","SOURCE_7","SOURCE_8","SOURCE_9","SOURCE_10","SOURCE_11","Points:0","Points:1","Points:2"
0.16278,0,-0.044107,4.5348,4.5339,4.5319,4.5284,4.5233,4.5171,4.5093,4.5003,4.49,4.4782,4.4648,0.44562,0.4411,0.43551,0.42896,0.42126,0.41263,0.4029,0.39204,0.38077,0.3671,0.35419,-0.30468,-0.309,-0.31322,-0.31735,-0.32138,-0.32531,-0.32914,-0.33288,-0.33651,-0.34004,-0.34346,1.0163,1.013,1.0094,1.0054,1.0012,0.99659,0.99173,0.98656,0.98109,0.97533,0.96927,1,0,2.0114e-17
-0.094717,0,-0.9955,4.8917,4.9964,5.0994,5.2002,5.3008,5.3984,5.4958,5.5917,5.6824,5.7793,5.8655,0.36133,0.33329,0.30496,0.27653,0.24743,0.2185,0.18897,0.15916,0.13037,0.098883,0.07033,0.26044,0.4131,0.56562,0.71797,0.87013,1.022,1.1735,1.3248,1.4755,1.6259,1.7758,-0.046488,-0.15333,-0.26012,-0.36684,-0.47344,-0.5799,-0.68619,-0.79226,-0.89809,-1.0037,-1.1089,0.99902,0,9.3467e-05
-0.093839,0,-0.99559,4.8261,4.8614,4.8953,4.9277,4.9585,4.9876,5.0158,5.0421,5.0667,5.0903,5.1118,0.37858,0.36949,0.36069,0.3522,0.34407,0.33635,0.32881,0.32172,0.31505,0.3086,0.30271,0.25637,0.40915,0.56179,0.71427,0.86655,1.0186,1.1702,1.3216,1.4725,1.623,1.773,-0.041088,-0.14793,-0.25473,-0.36145,-0.46806,-0.57453,-0.68082,-0.7869,-0.89275,-0.99832,-1.1036,0.99609,0,0.00037187
-0.092377,0,-0.99572,4.9228,4.9395,4.9547,4.9684,4.9806,4.9911,5.0004,5.0079,5.014,5.0188,5.0218,0.35342,0.34905,0.34505,0.34143,0.3382,0.33541,0.33294,0.33093,0.32931,0.32804,0.32723,0.25012,0.403,0.55575,0.70832,0.86071,1.0128,1.1646,1.3161,1.4671,1.6177,1.7678,-0.032099,-0.13894,-0.24575,-0.35247,-0.45909,-0.56558,-0.67188,-0.77799,-0.88385,-0.98945,-1.0947,0.9912,0,0.00082922
-0.090331,0,-0.99591,5.0186,5.0262,5.0323,5.0367,5.0396,5.041,5.041,5.0392,5.0361,5.0314,5.0251,0.32803,0.32601,0.32438,0.32319,0.32243,0.32206,0.32207,0.32254,0.32339,0.32465,0.32634,0.2422,0.39515,0.54798,0.70063,0.8531,1.0053,1.1572,1.3087,1.4598,1.6105,1.7607,-0.019517,-0.12637,-0.23317,-0.33991,-0.44655,-0.55305,-0.65938,-0.76551,-0.8714,-0.97703,-1.0824,0.98439,0,0.0014556
-0.0877,0,-0.99615,5.0917,5.093,5.0928,5.091,5.0876,5.0826,5.0763,5.0682,5.0587,5.0476,5.035,0.30833,0.30798,0.30805,0.30854,0.30948,0.31083,0.31255,0.31473,0.3173,0.3203,0.32369,0.23284,0.38583,0.53869,0.69139,0.8439,0.99614,1.148,1.2996,1.4508,1.6016,1.7518,-0.0033478,-0.1102,-0.21702,-0.32377,-0.43042,-0.53694,-0.6433,-0.74946,-0.85539,-0.96107,-1.0664,0.97565,0,0.0022372
-0.084489,0,-0.99642,5.1458,5.1421,5.1369,5.1302,5.1219,5.1119,5.1006,5.0875,5.0731,5.057,5.0393,0.29359,0.29458,0.29601,0.29786,0.30014,0.30286,0.30595,0.3095,0.31342,0.31777,0.32252,0.22215,0.37512,0.52797,0.68066,0.83317,0.98541,1.1373,1.2889,1.4401,1.5909,1.7411,0.016385,-0.090468,-0.19729,-0.30406,-0.41073,-0.51728,-0.62367,-0.72987,-0.83585,-0.94157,-1.047,0.96503,0,0.0031565
-0.080702,0,-0.99674,5.1866,5.1787,5.1694,5.1584,5.1459,5.1317,5.1161,5.0988,5.0801,5.0597,5.0379,0.28235,0.28451,0.28711,0.29012,0.29357,0.29745,0.30172,0.30643,0.31151,0.31703,0.32291,0.21018,0.36308,0.51586,0.66849,0.82093,0.97311,1.125,1.2765,1.4276,1.5784,1.7286,0.039648,-0.067207,-0.17404,-0.28082,-0.38752,-0.4941,-0.60052,-0.70677,-0.8128,-0.91858,-1.0241,0.95256,0,0.0041925
-0.076349,0,-0.99708,5.2185,5.2069,5.1938,5.1791,5.1628,5.1449,5.1255,5.1044,5.0819,5.0578,5.0321,0.27349,0.2767,0.28035,0.28441,0.28892,0.29384,0.29916,0.30491,0.31102,0.31756,0.32445,0.197,0.34975,0.50239,0.65488,0.80719,0.95924,1.111,1.2624,1.4134,1.564,1.7141,0.066383,-0.040472,-0.14731,-0.25411,-0.36083,-0.46744,-0.57391,-0.6802,-0.78629,-0.89214,-0.99771,0.93826,0,0.0053207
-0.071443,0,-0.99744,5.2445,5.2295,5.2129,5.1947,5.1749,5.1535,5.1307,5.1061,5.0801,5.0525,5.0234,0.26622,0.27041,0.27504,0.28009,0.28557,0.29146,0.29774,0.30444,0.31151,0.31897,0.3268,0.18266,0.33518,0.4876,0.63987,0.79196,0.9438,1.0953,1.2466,1.3974,1.5478,1.6977,0.096502,-0.010351,-0.1172,-0.22401,-0.33076,-0.4374,-0.54392,-0.65026,-0.75641,-0.86233,-0.96798,0.92219,0,0.0065139
