**********************************************************
OPT++ version 2.4
Job run at Mon Dec 21 19:38:20 2015

**********************************************************

		 NIPS Iteration Summary

	Nonlinear Interior-Point Method Method with Line Search 
 
  Merit Function =  1 

  Iter    F(x)       mu          alpha      Merit    feval    btracks  Penalty

    0     0.002231      0.01315 
    1      0.00263      0.01315      0.9193        268.8    2   0      1e+02
    2     0.003064      0.01315      0.9222        258.6    3   0      1e+02
    3     0.003093      0.01315      0.8785        257.9    4   0      1e+02
    4     0.003104      0.01315      0.8127        257.2    5   0      1e+02
    5     0.003129      0.01315       0.805        256.5    6   0      1e+02
    6     0.003201      0.01315      0.8815        250.7    7   0      1e+02
    7     0.003295      0.01315      0.8815        245.2    8   0      1e+02
    8     0.003373      0.01315      0.8827        240.1    9   0      1e+02
    9     0.003442      0.01315      0.8743        235.5   10   0      1e+02
   10     0.003524      0.01315      0.8731        231.1   11   0      1e+02
   11      0.00359      0.01315      0.8751        227.1   12   0      1e+02
   12     0.003654      0.01315      0.8513        223.4   13   0      1e+02
   13     0.003721      0.01315      0.8527          220   14   0      1e+02
   14     0.003798      0.01315       0.816        216.8   15   0      1e+02
   15     0.003892      0.01315      0.8145        213.7   16   0      1e+02
   16     0.003972      0.01315      0.8127        210.9   17   0      1e+02
   17     0.004025      0.01315      0.8501        208.2   18   0      1e+02
   18      0.00407      0.01315      0.8478        205.8   19   0      1e+02
   19     0.004165      0.01315      0.7954        203.4   20   0      1e+02
   20     0.004199      0.01315      0.9268        201.3   21   0      1e+02
   21     0.004238      0.01315      0.9294        199.3   22   0      1e+02
   22     0.004258      0.01315      0.9303        197.5   23   0      1e+02
   23     0.004351      0.01315      0.8061        195.6   24   0      1e+02
   24     0.004393      0.01315      0.8442        193.9   25   0      1e+02
   25      0.00447      0.01315      0.8438        192.2   26   0      1e+02
   26     0.004531      0.01315       0.883        190.6   27   0      1e+02
   27     0.004578      0.01315      0.9387        189.1   28   0      1e+02
   28     0.004615      0.01315      0.9384        187.7   29   0      1e+02
   29     0.004679      0.01315      0.8909        186.3   30   0      1e+02
   30     0.004751      0.01315      0.8919        184.9   31   0      1e+02
   31     0.004844      0.01315       0.892        183.5   32   0      1e+02
   32     0.004874      0.01315      0.9356        182.2   33   0      1e+02
   33     0.004957      0.01315      0.8288          181   34   0      1e+02
   34     0.005014      0.01315      0.8294        179.8   35   0      1e+02
   35     0.005093      0.01315      0.8295        178.6   36   0      1e+02
   36     0.005219      0.01315      0.8409        177.1   37   0      1e+02
   37     0.005238      0.01315      0.8601          176   38   0      1e+02
   38     0.005293      0.01315      0.8611          175   39   0      1e+02
   39     0.005333      0.01315      0.8944          174   40   0      1e+02
   40     0.005348      0.01315      0.8161        173.2   41   0      1e+02
   41     0.005389      0.01315      0.8164        172.3   42   0      1e+02
   42     0.005423      0.01315      0.8167        171.6   43   0      1e+02
   43     0.005463      0.01315      0.8859        170.8   44   0      1e+02
   44     0.005479      0.01315      0.8832        170.2   45   0      1e+02
   45      0.00553      0.01315      0.8521        169.2   46   0      1e+02
   46     0.005567      0.01315      0.8529        168.2   47   0      1e+02
   47     0.005625      0.01315      0.8533        167.3   48   0      1e+02
