"Normals:0","Normals:1","Normals:2","VELOCITY_1","CP_1","DIPOLE_1","SOURCE_1","Points:0","Points:1","Points:2"
0.096382,0,0,6.2,-0.034325,-0.12892,0.587,1,0,1.1102e-17
0.096255,0,-0.99534,5.6356,0.15271,0.69824,-0.037004,0.99897,0,-9.9479e-05
0.095877,0,-0.99537,5.6454,0.14977,0.69706,-0.039332,0.9959,0,-0.00039672
0.095252,0,-0.99543,5.6467,0.14939,0.69479,-0.043174,0.99078,0,-0.00088814
0.094393,0,-0.99551,5.6554,0.14675,0.69183,-0.04846,0.98365,0,-0.0015679
0.093311,0,-0.99562,5.6701,0.14231,0.68841,-0.055112,0.97453,0,-0.0024281
0.092024,0,-0.99574,5.6894,0.13646,0.6847,-0.063028,0.96346,0,-0.0034589
0.090549,0,-0.99587,5.7118,0.12963,0.68081,-0.072094,0.95048,0,-0.0046488
0.088905,0,-0.99602,5.736,0.12225,0.67683,-0.082197,0.93566,0,-0.005985
0.087112,0,-0.99618,5.7607,0.11468,0.67282,-0.093217,0.91904,0,-0.0074536
0.085188,0,-0.99635,5.7851,0.10716,0.66883,-0.10505,0.90071,0,-0.0090399
0.083147,0,-0.99652,5.8085,0.099919,0.6649,-0.11758,0.88072,0,-0.010728
0.081002,0,-0.9967,5.8304,0.093121,0.66105,-0.13076,0.85917,0,-0.012504
0.078763,0,-0.99688,5.8506,0.086825,0.6573,-0.14451,0.83615,0,-0.014349
0.076431,0,-0.99706,5.8689,0.0811,0.65366,-0.15882,0.81174,0,-0.016249
0.074007,0,-0.99724,5.8853,0.075977,0.65012,-0.1737,0.78606,0,-0.018188
0.071482,0,-0.99743,5.8997,0.071438,0.64669,-0.18919,0.7592,0,-0.020148
0.068842,0,-0.99761,5.9123,0.067479,0.64336,-0.20539,0.73127,0,-0.022113
0.066066,0,-0.9978,5.9229,0.064112,0.64011,-0.22241,0.70239,0,-0.024066
0.063128,0,-0.99799,5.9318,0.061309,0.63693,-0.24043,0.67268,0,-0.025991
0.059995,0,-0.99819,5.9389,0.059049,0.63381,-0.25963,0.64226,0,-0.027869
0.056631,0,-0.99838,5.9443,0.057364,0.63071,-0.28024,0.61126,0,-0.029681
0.052992,0,-0.99858,5.9476,0.056289,0.62763,-0.30253,0.5798,0,-0.031411
0.049032,0,-0.99879,5.949,0.055864,0.62452,-0.32677,0.54801,0,-0.033037
0.044701,0,-0.99899,5.9481,0.056156,0.62135,-0.35327,0.51603,0,-0.034541
0.039947,0,-0.99919,5.9446,0.057252,0.61807,-0.38236,0.48397,0,-0.035903
0.034713,0,-0.99939,5.9382,0.059286,0.61462,-0.41435,0.45199,0,-0.037102
0.028945,0,-0.99957,5.9283,0.062427,0.61095,-0.4496,0.4202,0,-0.038118
0.022582,0,-0.99973,5.9143,0.066829,0.60696,-0.48846,0.38874,0,-0.038934
0.015563,0,-0.99987,5.8956,0.072734,0.60259,-0.53128,0.35774,0,-0.039531
0.0078239,0,-0.99996,5.8711,0.080422,0.59772,-0.57848,0.32732,0,-0.039892
-0.00070729,0,-0.99999,5.84,0.090143,0.59225,-0.63045,0.29761,0,-0.040004
-0.010111,0,-0.99993,5.8009,0.10226,0.58607,-0.68769,0.26873,0,-0.039855
-0.020482,0,-0.99977,5.7524,0.11722,0.57905,-0.75075,0.2408,0,-0.039434
-0.031937,0,-0.99947,5.6926,0.13545,0.57106,-0.82033,0.21394,0,-0.038738
-0.044626,0,-0.99898,5.6194,0.15752,0.56198,-0.8973,0.18826,0,-0.037762
-0.058747,0,-0.99824,5.5299,0.18412,0.55169,-0.98284,0.16385,0,-0.036509
-0.074571,0,-0.99718,5.4205,0.21606,0.54006,-1.0786,0.14083,0,-0.034981
-0.092476,0,-0.99567,5.2862,0.25438,0.52698,-1.1867,0.11928,0,-0.033188
-0.113,0,-0.99353,5.1199,0.30047,0.51236,-1.3103,0.099293,0,-0.031139
-0.13693,0,-0.99049,4.9117,0.35604,0.49609,-1.4542,0.080956,0,-0.028847
-0.16545,0,-0.98609,4.6469,0.42333,0.47811,-1.6251,0.064341,0,-0.026329
-0.20037,0,-0.97952,4.3021,0.50522,0.45836,-1.8336,0.049516,0,-0.0236
-0.24457,0,-0.96929,3.8391,0.6049,0.43678,-2.0964,0.036542,0,-0.020678
-0.30282,0,-0.9524,3.1916,0.72438,0.41335,-2.4406,0.025472,0,-0.017581
-0.38317,0,-0.92228,2.2363,0.85777,0.38802,-2.9111,0.016353,0,-0.014325
-0.49891,0,-0.86301,0.93084,0.96265,0.36074,-3.5789,0.0092204,0,-0.010927
-0.66588,0,-0.73419,1.7952,0.84616,0.33139,-4.5152,0.004105,0,-0.0073997
-0.86431,0,-0.45452,5.8188,-0.060609,0.29956,-5.5486,0.0010273,0,-0.0037545
-0.96455,0,0,10.146,-1.8427,0.26476,-5.8744,0,0,0
-0.86431,0,0.45452,12.302,-3.0392,0.22747,-4.9794,0.0010273,0,0.0037545
-0.66588,0,0.73419,12.177,-2.9597,0.18877,-3.5957,0.004105,0,0.0073997
-0.49891,0,0.86301,11.394,-2.4679,0.14901,-2.4982,0.0092204,0,0.010927
-0.38317,0,0.92228,10.67,-2.0399,0.10804,-1.7562,0.016353,0,0.014325
-0.30282,0,0.9524,10.095,-1.7205,0.065859,-1.2479,0.025472,0,0.017581
-0.24457,0,0.96929,9.6465,-1.4836,0.022585,-0.88258,0.036542,0,0.020678
-0.20037,0,0.97952,9.2911,-1.3036,-0.021652,-0.60696,0.049516,0,0.0236
-0.16545,0,0.98609,9.0032,-1.1629,-0.066702,-0.39019,0.064341,0,0.026329
-0.13693,0,0.99049,8.7643,-1.0495,-0.1124,-0.21376,0.080956,0,0.028847
-0.113,0,0.99353,8.5617,-0.95579,-0.15857,-0.066107,0.099293,0,0.031139
-0.092476,0,0.99567,8.3862,-0.87638,-0.20502,0.06023,0.11928,0,0.033188
-0.074571,0,0.99718,8.2313,-0.80766,-0.25154,0.17022,0.14083,0,0.034981
-0.058747,0,0.99824,8.0923,-0.74712,-0.29794,0.26726,0.16385,0,0.036509
-0.044626,0,0.99898,7.9659,-0.69295,-0.344,0.35373,0.18826,0,0.037762
-0.031937,0,0.99947,7.8495,-0.64383,-0.3895,0.43131,0.21394,0,0.038738
-0.020482,0,0.99977,7.7413,-0.5988,-0.43423,0.50127,0.2408,0,0.039434
-0.010111,0,0.99993,7.6399,-0.55719,-0.47799,0.56453,0.26873,0,0.039855
-0.00070729,0,0.99999,7.5443,-0.51847,-0.52058,0.62184,0.29761,0,0.040004
0.0078239,0,0.99996,7.4539,-0.48228,-0.56182,0.67378,0.32732,0,0.039892
0.015563,0,0.99987,7.3681,-0.44836,-0.60153,0.72086,0.35774,0,0.039531
0.022582,0,0.99973,7.2865,-0.41645,-0.63957,0.76352,0.38874,0,0.038934
0.028945,0,0.99957,7.2088,-0.38641,-0.67581,0.80217,0.4202,0,0.038118
0.034713,0,0.99939,7.1349,-0.35813,-0.71013,0.83719,0.45199,0,0.037102
0.039947,0,0.99919,7.0646,-0.33149,-0.74245,0.86894,0.48397,0,0.035903
0.044701,0,0.99899,6.9978,-0.3064,-0.77269,0.89777,0.51603,0,0.034541
0.049032,0,0.99879,6.9343,-0.2828,-0.8008,0.92402,0.54801,0,0.033037
0.052992,0,0.99858,6.874,-0.26061,-0.82675,0.94801,0.5798,0,0.031411
0.056631,0,0.99838,6.817,-0.23978,-0.85053,0.97005,0.61126,0,0.029681
0.059995,0,0.99819,6.7631,-0.22025,-0.87213,0.99041,0.64226,0,0.027869
0.063128,0,0.99799,6.7123,-0.20198,-0.89157,1.0094,0.67268,0,0.025991
0.066066,0,0.9978,6.6646,-0.18497,-0.90888,1.0271,0.70239,0,0.024066
0.068842,0,0.99761,6.6202,-0.16921,-0.92409,1.0439,0.73127,0,0.022113
0.071482,0,0.99743,6.579,-0.15471,-0.93726,1.0599,0.7592,0,0.020148
0.074007,0,0.99724,6.5414,-0.14156,-0.94844,1.0752,0.78606,0,0.018188
0.076431,0,0.99706,6.5077,-0.12983,-0.9577,1.0898,0.81174,0,0.016249
0.078763,0,0.99688,6.4785,-0.11968,-0.96512,1.1039,0.83615,0,0.014349
0.081002,0,0.9967,6.4542,-0.11133,-0.97079,1.1174,0.85917,0,0.012504
0.083147,0,0.99652,6.436,-0.10504,-0.97481,1.1304,0.88072,0,0.010728
0.085188,0,0.99635,6.4246,-0.10112,-0.97729,1.1427,0.90071,0,0.0090399
0.087112,0,0.99618,6.4212,-0.099958,-0.97837,1.1543,0.91904,0,0.0074536
