"Normals:0","Normals:1","Normals:2","VELOCITY_1","CP_1","DIPOLE_1","SOURCE_1","-Cp","arc_length","Points:0","Points:1","Points:2"
0.10889,-0.0073187,-0.0034323,5.1085,0.18984,-0.12462,0.66409,-0.18984,0,0.79832,-3,9.9995e-18
0.077682,-0.0052285,-0.99696,6.4361,-0.11993,0.43068,0.095328,0.11993,0.00081925,0.7975,-3,-6.373e-05
0.077426,-0.0052238,-0.99698,5.6586,0.14568,0.42926,0.093758,-0.14568,0.0032737,0.79506,-3,-0.00025424
0.077005,-0.0052161,-0.99702,5.6146,0.15902,0.42687,0.09117,-0.15902,0.0073535,0.79099,-3,-0.00056951
0.07643,-0.0052061,-0.99706,5.648,0.14897,0.42385,0.087642,-0.14897,0.013042,0.78532,-3,-0.0010063
0.075716,-0.0051944,-0.99711,5.6923,0.13558,0.42041,0.083257,-0.13558,0.020317,0.77806,-3,-0.00156
0.074878,-0.0051817,-0.99718,5.7346,0.12267,0.4167,0.078114,-0.12267,0.029148,0.76926,-3,-0.0022254
0.073935,-0.0051688,-0.99725,5.7727,0.11098,0.41281,0.072326,-0.11098,0.0395,0.75894,-3,-0.0029962
0.072906,-0.0051563,-0.99732,5.8065,0.10054,0.40882,0.066009,-0.10054,0.051331,0.74714,-3,-0.0038653
0.071809,-0.0051446,-0.9974,5.8364,0.091238,0.40478,0.059274,-0.091238,0.064594,0.73391,-3,-0.0048254
0.07066,-0.005134,-0.99749,5.8631,0.082924,0.40076,0.052224,-0.082924,0.079235,0.7193,-3,-0.0058687
0.069474,-0.0051245,-0.99757,5.8869,0.075465,0.39678,0.04494,-0.075465,0.095194,0.70339,-3,-0.0069873
0.068259,-0.0051156,-0.99765,5.9082,0.068746,0.3929,0.037485,-0.068746,0.11241,0.68621,-3,-0.008173
0.06702,-0.0051065,-0.99774,5.9276,0.062648,0.38912,0.029885,-0.062648,0.1308,0.66786,-3,-0.0094177
0.065757,-0.0050963,-0.99782,5.9453,0.05704,0.38548,0.022133,-0.05704,0.15031,0.6484,-3,-0.010713
0.064461,-0.0050835,-0.99791,5.9616,0.051846,0.382,0.014181,-0.051846,0.17084,0.62791,-3,-0.01205
0.063117,-0.0050664,-0.99799,5.9768,0.046992,0.37871,0.0059393,-0.046992,0.19232,0.60647,-3,-0.013421
0.061705,-0.005043,-0.99808,5.9913,0.042388,0.37562,-0.0027285,-0.042388,0.21466,0.58417,-3,-0.014816
0.060193,-0.0050115,-0.99817,6.005,0.037977,0.37275,-0.012002,-0.037977,0.23777,0.56111,-3,-0.016225
0.058545,-0.0049698,-0.99827,6.0183,0.033717,0.37012,-0.022105,-0.033717,0.26154,0.53738,-3,-0.017638
0.05672,-0.0049158,-0.99838,6.0312,0.029581,0.36775,-0.0333,-0.029581,0.28589,0.51307,-3,-0.019042
0.054667,-0.0048479,-0.99849,6.0437,0.025548,0.36565,-0.045891,-0.025548,0.31072,0.48828,-3,-0.020427
0.052331,-0.0047646,-0.99862,6.0558,0.021645,0.36383,-0.060212,-0.021645,0.33591,0.46313,-3,-0.021776
0.049653,-0.0046648,-0.99875,6.0673,0.017927,0.3623,-0.076625,-0.017927,0.36137,0.4377,-3,-0.023077
0.046571,-0.0045479,-0.9989,6.078,0.014475,0.36106,-0.095514,-0.014475,0.387,0.4121,-3,-0.024313
0.043026,-0.0044139,-0.99906,6.0873,0.011441,0.36008,-0.11724,-0.011441,0.41267,0.38645,-3,-0.025466
0.038981,-0.0042641,-0.99923,6.0945,0.0091091,0.35933,-0.14202,-0.0091091,0.4383,0.36085,-3,-0.02652
0.034708,-0.0041068,-0.99939,6.0995,0.007472,0.35876,-0.16819,-0.007472,0.46379,0.33538,-3,-0.027459
0.030181,-0.0039394,-0.99953,6.1038,0.0060936,0.35831,-0.19591,-0.0060936,0.48904,0.31014,-3,-0.028281
0.024972,-0.0037506,-0.99968,6.1073,0.0049269,0.358,-0.2278,-0.0049269,0.51392,0.28527,-3,-0.028972
0.018905,-0.0035401,-0.99981,6.1091,0.0043607,0.3578,-0.26492,-0.0043607,0.53833,0.26087,-3,-0.029513
0.011889,-0.003311,-0.99992,6.1079,0.00475,0.35766,-0.30783,-0.00475,0.56216,0.23703,-3,-0.029886
0.0038202,-0.003067,-0.99998,6.1027,0.0064407,0.35751,-0.35716,-0.0064407,0.58533,0.21387,-3,-0.030074
-0.0054226,-0.0028119,-0.99997,6.0923,0.009826,0.35726,-0.41363,-0.009826,0.60772,0.19148,-3,-0.030062
-0.015987,-0.0025495,-0.99985,6.0753,0.015333,0.35683,-0.47814,-0.015333,0.62925,0.16995,-3,-0.029839
-0.028059,-0.0022838,-0.99958,6.0501,0.023474,0.35609,-0.55181,-0.023474,0.64984,0.14937,-3,-0.029394
-0.041883,-0.0020186,-0.99909,6.0147,0.034875,0.35495,-0.6361,-0.034875,0.66939,0.12983,-3,-0.028719
-0.057789,-0.0017577,-0.99829,5.9664,0.050306,0.35329,-0.73299,-0.050306,0.68782,0.11141,-3,-0.02781
-0.076231,-0.0015045,-0.99704,5.9016,0.070797,0.35099,-0.8452,-0.070797,0.70508,0.094193,-3,-0.026665
-0.097855,-0.0012621,-0.99513,5.8155,0.097688,0.34794,-0.97661,-0.097688,0.72109,0.078244,-3,-0.025286
-0.1236,-0.0010332,-0.99223,5.7009,0.13286,0.34402,-1.1328,-0.13286,0.73579,0.06363,-3,-0.023675
-0.15485,-0.00082024,-0.98778,5.5468,0.179,0.33914,-1.3221,-0.179,0.74914,0.050411,-3,-0.021838
-0.19374,-0.00062527,-0.9808,5.3358,0.24007,0.33319,-1.5571,-0.24007,0.76109,0.038642,-3,-0.019782
-0.24363,-0.00044999,-0.96943,5.0386,0.3219,0.32608,-1.8576,-0.3219,0.77161,0.028369,-3,-0.017516
-0.30996,-0.00029598,-0.9499,4.603,0.43295,0.31774,-2.2555,-0.43295,0.78068,0.019634,-3,-0.015048
-0.40155,-0.00016497,-0.91397,3.9288,0.58366,0.30807,-2.8015,-0.58366,0.78832,0.012471,-3,-0.012389
-0.53144,-5.9871e-05,-0.84224,2.8168,0.7753,0.29701,-3.5679,-0.7753,0.79457,0.0069081,-3,-0.009547
-0.70893,1.2413e-05,-0.69019,1.2231,0.93872,0.28442,-4.5946,-0.93872,0.79953,0.0029669,-3,-0.0065302
-0.89549,3.8402e-05,-0.39017,2.1351,0.79122,0.2701,-5.6204,-0.79122,0.80346,0.00066165,-3,-0.003346
-0.98131,3.8562e-05,-0.0017512,5.4601,0.14274,0.25389,-5.9971,-0.14274,0.80688,0,-3,0
-0.90371,5.4455e-05,0.37719,7.9559,-0.71463,0.23505,-5.3787,0.71463,0.81035,0.00066165,-3,0.0034102
-0.7357,8.1217e-05,0.66373,9.1095,-1.2149,0.2138,-4.243,1.2149,0.81444,0.0029669,-3,0.0067859
-0.57655,0.00010766,0.81258,9.2363,-1.276,0.19109,-3.2139,1.276,0.8196,0.0069081,-3,0.010118
-0.45787,0.00014167,0.88721,9.0903,-1.2047,0.16692,-2.4603,1.2047,0.82605,0.012471,-3,0.013394
-0.37196,0.00018434,0.92738,8.8971,-1.112,0.14127,-1.92,1.112,0.8339,0.019634,-3,0.016597
-0.30798,0.0002337,0.95091,8.7156,-1.0267,0.11418,-1.5201,1.0267,0.84317,0.028369,-3,0.019709
-0.25844,0.00028655,0.96574,8.5579,-0.95396,0.085701,-1.2117,0.95396,0.85387,0.038642,-3,0.022708
-0.2186,0.0003391,0.97562,8.4223,-0.8925,0.055915,-0.96454,0.8925,0.86599,0.050411,-3,0.025573
