"Normals:0","Normals:1","Normals:2","VELOCITY_1","CP_1","DIPOLE_1","SOURCE_1","-Cp","arc_length","Points:0","Points:1","Points:2"
0.14375,0,0,4.7861,0.36754,-0.20622,0.87547,-0.36754,0,1,0,1.6653e-17
0.14356,0,-0.98964,5.4849,0.19641,0.68629,0.25465,-0.19641,0.0010381,0.99897,0,-0.00014922
0.143,0,-0.98972,5.3103,0.2477,0.68353,0.25119,-0.2477,0.0041479,0.9959,0,-0.00059507
0.14208,0,-0.98986,5.3776,0.22846,0.67933,0.2455,-0.22846,0.0093162,0.99078,0,-0.0013322
0.14081,0,-0.99004,5.4684,0.2022,0.67423,0.23767,-0.2022,0.016521,0.98365,0,-0.0023519
0.13921,0,-0.99026,5.5531,0.1773,0.66857,0.22781,-0.1773,0.025731,0.97453,0,-0.0036422
0.13731,0,-0.99053,5.6284,0.15485,0.66263,0.21606,-0.15485,0.036908,0.96346,0,-0.0051884
0.13514,0,-0.99083,5.6948,0.13479,0.65662,0.20261,-0.13479,0.050004,0.95048,0,-0.0069732
0.13271,0,-0.99115,5.7536,0.11684,0.65069,0.18761,-0.11684,0.064964,0.93566,0,-0.0089776
0.13006,0,-0.99151,5.806,0.1007,0.64497,0.17125,-0.1007,0.081725,0.91904,0,-0.01118
0.12721,0,-0.99188,5.8529,0.086086,0.63959,0.15367,-0.086086,0.10022,0.90071,0,-0.01356
0.12419,0,-0.99226,5.8953,0.072826,0.63461,0.13503,-0.072826,0.12036,0.88072,0,-0.016093
0.12101,0,-0.99265,5.9334,0.06079,0.63012,0.11544,-0.06079,0.14207,0.85917,0,-0.018755
0.11769,0,-0.99305,5.968,0.049817,0.62615,0.094971,-0.049817,0.16526,0.83615,0,-0.021524
0.11423,0,-0.99345,5.9994,0.039776,0.62276,0.07366,-0.039776,0.18983,0.81174,0,-0.024374
0.11063,0,-0.99386,6.0281,0.030573,0.61996,0.051491,-0.030573,0.21568,0.78606,0,-0.027281
0.10688,0,-0.99427,6.0545,0.022081,0.61777,0.028391,-0.022081,0.24271,0.7592,0,-0.030221
0.10296,0,-0.99468,6.0787,0.014239,0.61621,0.0042303,-0.014239,0.27079,0.73127,0,-0.033169
0.09883,0,-0.9951,6.101,0.0069917,0.61526,-0.021177,-0.0069917,0.29981,0.70239,0,-0.036099
0.094457,0,-0.99553,6.1216,0.00027338,0.61493,-0.048075,-0.00027338,0.32966,0.67268,0,-0.038986
0.089792,0,-0.99596,6.1406,-0.0059354,0.61521,-0.076758,0.0059354,0.36021,0.64226,0,-0.041803
0.084777,0,-0.9964,6.158,-0.011635,0.61608,-0.10757,0.011635,0.39133,0.61126,0,-0.044522
0.07935,0,-0.99684,6.1737,-0.01681,0.61749,-0.14091,0.01681,0.4229,0.5798,0,-0.047116
0.073438,0,-0.99729,6.1876,-0.021393,0.61942,-0.17719,0.021393,0.45478,0.54801,0,-0.049556
0.066968,0,-0.99775,6.1993,-0.025268,0.62182,-0.21688,0.025268,0.48685,0.51603,0,-0.051812
0.05986,0,-0.9982,6.2086,-0.028325,0.6246,-0.26046,0.028325,0.51897,0.48397,0,-0.053854
0.052031,0,-0.99864,6.2148,-0.030394,0.62769,-0.30842,0.030394,0.551,0.45199,0,-0.055652
0.043394,0,-0.99905,6.2173,-0.031233,0.63099,-0.36127,0.031233,0.58283,0.4202,0,-0.057178
0.033861,0,-0.99941,6.2154,-0.030593,0.63438,-0.41956,0.030593,0.61431,0.38874,0,-0.058401
0.023341,0,-0.99971,6.2081,-0.02817,0.63771,-0.48382,0.02817,0.64533,0.35774,0,-0.059296
0.011735,0,-0.99991,6.1943,-0.023595,0.64082,-0.55463,0.023595,0.67575,0.32732,0,-0.059838
-0.0010609,0,-0.99998,6.1726,-0.016444,0.64355,-0.6326,0.016444,0.70546,0.29761,0,-0.060006
-0.015165,0,-0.99986,6.1415,-0.0062537,0.64569,-0.71842,0.0062537,0.73434,0.26873,0,-0.059782
-0.030713,0,-0.99949,6.0994,0.0075119,0.64706,-0.81289,-0.0075119,0.76227,0.2408,0,-0.059152
-0.047872,0,-0.99881,6.0438,0.025494,0.64743,-0.91696,-0.025494,0.78916,0.21394,0,-0.058107
-0.06685,0,-0.99771,5.9722,0.048427,0.64659,-1.0319,-0.048427,0.81488,0.18826,0,-0.056644
-0.087923,0,-0.99607,5.8813,0.077162,0.64434,-1.1592,-0.077162,0.83936,0.16385,0,-0.054763
-0.11146,0,-0.99369,5.7667,0.11271,0.64045,-1.301,-0.11271,0.8625,0.14083,0,-0.052472
-0.13796,0,-0.99034,5.6229,0.15636,0.63473,-1.4603,-0.15636,0.88422,0.11928,0,-0.049782
-0.16813,0,-0.98563,5.4418,0.20971,0.627,-1.6411,-0.20971,0.90443,0.099293,0,-0.046708
-0.20297,0,-0.979,5.2124,0.27474,0.61709,-1.8492,-0.27474,0.92309,0.080956,0,-0.043271
-0.24393,0,-0.96952,4.9182,0.35396,0.60487,-2.0927,-0.35396,0.94013,0.064341,0,-0.039493
-0.29309,0,-0.95567,4.534,0.4503,0.59019,-2.3834,-0.4503,0.95551,0.049516,0,-0.0354
-0.35351,0,-0.93475,4.02,0.56654,0.57296,-2.7383,-0.56654,0.9692,0.036542,0,-0.031017
-0.42952,0,-0.90183,3.3112,0.70295,0.55308,-3.1806,-0.70295,0.98121,0.025472,0,-0.026371
-0.52676,0,-0.84757,2.2998,0.84935,0.53046,-3.7389,-0.84935,0.99155,0.016353,0,-0.021488
-0.6502,0,-0.75432,0.8867,0.9613,0.50497,-4.4323,-0.9613,1.0003,0.0092204,0,-0.016391
-0.79519,0,-0.59279,1.353,0.90736,0.47642,-5.2141,-0.90736,1.0077,0.004105,0,-0.0111
-0.9276,0,-0.33498,4.2201,0.45781,0.44444,-5.8592,-0.45781,1.014,0.0010273,0,-0.0056318
-0.98377,0,0,7.2183,-0.44326,0.40868,-5.9915,0.44326,1.0197,0,0,0
-0.9276,0,0.33498,9.4402,-1.3949,0.36935,-5.4397,1.3949,1.0254,0.0010273,0,0.0056318
-0.79519,0,0.59279,10.48,-1.9316,0.32717,-4.4718,1.9316,1.0317,0.004105,0,0.0111
-0.6502,0,0.75432,10.667,-2.0354,0.28271,-3.4876,2.0354,1.039,0.0092204,0,0.016391
-0.52676,0,0.84757,10.49,-1.9359,0.23612,-2.6774,1.9359,1.0478,0.016353,0,0.021488
-0.42952,0,0.90183,10.209,-1.7813,0.1875,-2.0512,1.7813,1.0581,0.025472,0,0.026371
-0.35351,0,0.93475,9.9224,-1.627,0.13699,-1.5677,1.627,1.0702,0.036542,0,0.031017
-0.29309,0,0.95567,9.6579,-1.4888,0.084752,-1.1866,1.4888,1.0838,0.049516,0,0.0354
-0.24393,0,0.96952,9.4216,-1.3684,0.030987,-0.87854,1.3684,1.0992,0.064341,0,0.039493
-0.20297,0,0.979,9.2112,-1.2637,-0.02409,-0.62316,1.2637,1.1163,0.080956,0,0.043271
-0.16813,0,0.98563,9.0225,-1.1719,-0.080237,-0.40679,1.1719,1.1349,0.099293,0,0.046708
-0.13796,0,0.99034,8.8514,-1.0903,-0.13719,-0.22009,1.0903,1.1551,0.11928,0,0.049782
-0.11146,0,0.99369,8.6942,-1.0167,-0.19468,-0.056603,1.0167,1.1769,0.14083,0,0.052472
-0.087923,0,0.99607,8.5482,-0.94951,-0.2524,0.088211,0.94951,1.2,0.16385,0,0.054763
-0.06685,0,0.99771,8.411,-0.88743,-0.31006,0.21758,0.88743,1.2245,0.18826,0,0.056644
-0.047872,0,0.99881,8.2809,-0.82951,-0.36734,0.33385,0.82951,1.2502,0.21394,0,0.058107
-0.030713,0,0.99949,8.1568,-0.77506,-0.42395,0.43878,0.77506,1.2771,0.2408,0,0.059152
-0.015165,0,0.99986,8.0377,-0.72358,-0.47958,0.53371,0.72358,1.305,0.26873,0,0.059782
-0.0010609,0,0.99998,7.923,-0.67474,-0.53395,0.61968,0.67474,1.3339,0.29761,0,0.060006
0.011735,0,0.99991,7.8122,-0.62824,-0.58678,0.69757,0.62824,1.3636,0.32732,0,0.059838
0.023341,0,0.99971,7.7051,-0.58391,-0.63783,0.76813,0.58391,1.394,0.35774,0,0.059296
0.033861,0,0.99941,7.6016,-0.54161,-0.68688,0.83201,0.54161,1.425,0.38874,0,0.058401
0.043394,0,0.99905,7.5013,-0.50122,-0.73372,0.88984,0.50122,1.4565,0.4202,0,0.057178
0.052031,0,0.99864,7.4043,-0.46263,-0.77819,0.94218,0.46263,1.4884,0.45199,0,0.055652
0.05986,0,0.9982,7.3104,-0.42576,-0.82014,0.98959,0.42576,1.5204,0.48397,0,0.053854
0.066968,0,0.99775,7.2194,-0.3905,-0.85948,1.0326,0.3905,1.5525,0.51603,0,0.051812
0.073438,0,0.99729,7.1313,-0.35675,-0.8961,1.0717,0.35675,1.5846,0.54801,0,0.049556
0.07935,0,0.99684,7.0457,-0.32438,-0.92997,1.1074,0.32438,1.6165,0.5798,0,0.047116
0.084777,0,0.9964,6.9624,-0.29324,-0.96103,1.1402,0.29324,1.648,0.61126,0,0.044522
0.089792,0,0.99596,6.8811,-0.26321,-0.98929,1.1705,0.26321,1.6791,0.64226,0,0.041803
0.094457,0,0.99553,6.8014,-0.23414,-1.0147,1.1986,0.23414,1.7097,0.67268,0,0.038986
0.09883,0,0.9951,6.723,-0.20583,-1.0374,1.225,0.20583,1.7395,0.70239,0,0.036099
0.10296,0,0.99468,6.6453,-0.17813,-1.0574,1.2499,0.17813,1.7686,0.73127,0,0.033169
0.10688,0,0.99427,6.5679,-0.15085,-1.0746,1.2735,0.15085,1.7967,0.7592,0,0.030221
0.11063,0,0.99386,6.4903,-0.1238,-1.0893,1.2961,0.1238,1.8237,0.78606,0,0.027281
0.11423,0,0.99345,6.4117,-0.096776,-1.1014,1.3178,0.096776,1.8495,0.81174,0,0.024374
0.11769,0,0.99305,6.3317,-0.069573,-1.1112,1.3386,0.069573,1.8741,0.83615,0,0.021524
0.12101,0,0.99265,6.2495,-0.041994,-1.1186,1.3585,0.041994,1.8973,0.85917,0,0.018755
0.12419,0,0.99226,6.1644,-0.0138,-1.1238,1.3776,0.0138,1.919,0.88072,0,0.016093
0.12721,0,0.99188,6.0753,0.015289,-1.1269,1.3958,-0.015289,1.9391,0.90071,0,0.01356
0.13006,0,0.99151,5.9812,0.045556,-1.1283,1.4129,-0.045556,1.9576,0.91904,0,0.01118
0.13271,0,0.99115,5.8807,0.077349,-1.1279,1.4288,-0.077349,1.9744,0.93566,0,0.0089776
0.13514,0,0.99083,5.7718,0.11117,-1.1261,1.4434,-0.11117,1.9894,0.95048,0,0.0069732
0.13731,0,0.99053,5.6516,0.14779,-1.123,1.4565,-0.14779,2.0024,0.96346,0,0.0051884
0.13921,0,0.99026,5.5155,0.1883,-1.119,1.4679,-0.1883,2.0136,0.97453,0,0.0036422
0.14081,0,0.99004,5.3557,0.2346,-1.1145,1.4775,-0.2346,2.0228,0.98365,0,0.0023519
0.14208,0,0.98986,5.1562,0.29041,-1.1097,1.4851,-0.29041,2.03,0.99078,0,0.0013322
0.143,0,0.98972,4.8723,0.36589,-1.1051,1.4906,-0.36589,2.0352,0.9959,0,0.00059507
0.14356,0,0.98964,4.2962,0.50323,-1.1013,1.494,-0.50323,2.0383,0.99897,0,0.00014922
0.14375,0,0,4.7861,0.36754,-0.20622,0.87547,-0.36754,2.0394,1,0,1.6653e-17
