"Normals:0","Normals:1","Normals:2","VELOCITY_1","CP_1","DIPOLE_1","SOURCE_1","-Cp","arc_length","Points:0","Points:1","Points:2"
0.097478,0,-0.0011722,6.1632,-0.013409,-0.13236,0.59528,-0.013409,0,1,0,1.1102e-17
0.085458,0,-0.99633,6.1954,-0.02398,0.43316,0.15366,-0.02398,0.0010302,0.99897,0,-8.9573e-05
0.085141,0,-0.99635,6.171,-0.01592,0.43168,0.15172,-0.01592,0.0041167,0.9959,0,-0.00035725
0.08462,0,-0.9964,6.1408,-0.0060146,0.42914,0.14852,-0.0060146,0.0092467,0.99079,0,-0.00079992
0.083905,0,-0.99646,6.1136,0.0028765,0.42597,0.14413,0.0028765,0.016399,0.98366,0,-0.0014125
0.083008,0,-0.99653,6.0903,0.010476,0.42242,0.13862,0.010476,0.025544,0.97455,0,-0.0021882
0.081946,0,-0.99662,6.0716,0.016546,0.41864,0.1321,0.016546,0.036644,0.96349,0,-0.0031185
0.080736,0,-0.99672,6.0577,0.021046,0.41476,0.12466,0.021046,0.049652,0.95053,0,-0.0041935
0.079397,0,-0.99683,6.0484,0.024057,0.41088,0.11644,0.024057,0.064517,0.93571,0,-0.0054022
0.077946,0,-0.99694,6.043,0.02578,0.40707,0.10753,0.02578,0.081175,0.9191,0,-0.0067327
0.0764,0,-0.99706,6.041,0.026438,0.40341,0.098035,0.026438,0.099559,0.90078,0,-0.0081724
0.074773,0,-0.99719,6.0416,0.026247,0.39993,0.088051,0.026247,0.11959,0.8808,0,-0.0097083
0.073078,0,-0.99731,6.0442,0.025395,0.39668,0.07764,0.025395,0.14119,0.85926,0,-0.011327
0.071319,0,-0.99744,6.0484,0.024048,0.39369,0.066847,0.024048,0.16427,0.83625,0,-0.013015
0.0695,0,-0.99757,6.0537,0.022332,0.39099,0.05568,0.022332,0.18873,0.81185,0,-0.014759
0.067615,0,-0.9977,6.0599,0.020341,0.3886,0.044116,0.020341,0.21448,0.78616,0,-0.016545
0.065656,0,-0.99783,6.0666,0.018159,0.38653,0.032091,0.018159,0.2414,0.7593,0,-0.018358
0.063604,0,-0.99796,6.0738,0.015822,0.3848,0.019506,0.015822,0.26939,0.73137,0,-0.020185
