"Normals:0","Normals:1","Normals:2","VELOCITY_1","CP_1","DIPOLE_1","SOURCE_1","-Cp","arc_length","Points:0","Points:1","Points:2"
0.097931,0,-0.008769,6.0923,0.0071085,-0.14389,0.59802,-0.0071085,0,1,0,1.1059e-17
0.0095783,0,-0.99995,5.7719,0.1112,0.50511,-0.096563,-0.1112,0.0010185,0.99898,0,-7.648e-06
0.0096032,0,-0.99995,5.759,0.11517,0.50326,-0.096411,-0.11517,0.0040701,0.99593,0,-3.0627e-05
0.0096501,0,-0.99995,5.7439,0.11981,0.50025,-0.096124,-0.11981,0.009143,0.99086,0,-6.9054e-05
0.0097265,0,-0.99995,5.7337,0.12292,0.49641,-0.095656,-0.12292,0.016217,0.98378,0,-0.00012318
0.0098421,0,-0.99995,5.7281,0.12467,0.49191,-0.094948,-0.12467,0.025266,0.97474,0,-0.00019343
0.010009,0,-0.99995,5.7264,0.12517,0.48687,-0.093929,-0.12517,0.036252,0.96375,0,-0.00028054
0.010238,0,-0.99995,5.7279,0.12472,0.48136,-0.092525,-0.12472,0.049135,0.95087,0,-0.00038556
0.010542,0,-0.99994,5.7317,0.12355,0.47544,-0.090661,-0.12355,0.063862,0.93614,0,-0.00051001
0.010933,0,-0.99994,5.7371,0.12191,0.46914,-0.088271,-0.12191,0.080377,0.91963,0,-0.00065585
0.011418,0,-0.99993,5.7435,0.11995,0.46248,-0.085301,-0.11995,0.098613,0.90139,0,-0.00082555
0.012003,0,-0.99993,5.7506,0.11779,0.45551,-0.081719,-0.11779,0.1185,0.88151,0,-0.0010221
0.012689,0,-0.99992,5.7579,0.11553,0.44823,-0.077516,-0.11553,0.13995,0.86005,0,-0.0012487
0.013473,0,-0.99991,5.7656,0.11318,0.4407,-0.072716,-0.11318,0.16289,0.83711,0,-0.0015089
0.014345,0,-0.9999,5.7733,0.11079,0.43293,-0.067378,-0.11079,0.18723,0.81278,0,-0.0018063
0.015289,0,-0.99988,5.7813,0.10833,0.42496,-0.061598,-0.10833,0.21285,0.78716,0,-0.0021442
0.016283,0,-0.99987,5.7896,0.10579,0.41685,-0.055516,-0.10579,0.23967,0.76034,0,-0.0025253
0.017296,0,-0.99985,5.7982,0.10313,0.40863,-0.049314,-0.10313,0.26757,0.73245,0,-0.0029515
0.018292,0,-0.99983,5.8072,0.10033,0.40036,-0.043212,-0.10033,0.29644,0.70358,0,-0.0034234
0.019229,0,-0.99981,5.8167,0.097379,0.3921,-0.037476,-0.097379,0.32616,0.67386,0,-0.0039401
0.020057,0,-0.9998,5.8268,0.094246,0.3839,-0.032407,-0.094246,0.35661,0.64342,0,-0.0044987
0.020721,0,-0.99979,5.8374,0.090936,0.37583,-0.028339,-0.090936,0.38767,0.61237,0,-0.0050941
0.021162,0,-0.99978,5.8485,0.087482,0.36795,-0.025639,-0.087482,0.4192,0.58084,0,-0.0057188
0.021316,0,-0.99977,5.8599,0.08392,0.36029,-0.024697,-0.08392,0.45108,0.54897,0,-0.0063631
0.021115,0,-0.99978,5.8713,0.080366,0.35292,-0.025924,-0.080366,0.48318,0.51688,0,-0.0070143
0.020491,0,-0.99979,5.8821,0.076983,0.34583,-0.029747,-0.076983,0.51536,0.48471,0,-0.0076576
0.019371,0,-0.99981,5.8916,0.073981,0.33904,-0.036607,-0.073981,0.54748,0.45259,0,-0.0082759
0.01768,0,-0.99984,5.8986,0.071777,0.33251,-0.046958,-0.071777,0.57942,0.42065,0,-0.0088502
0.015344,0,-0.99988,5.9005,0.071182,0.32615,-0.061262,-0.071182,0.61104,0.38904,0,-0.0093598
0.012317,0,-0.99992,5.8913,0.074073,0.31976,-0.079797,-0.074073,0.6422,0.35788,0,-0.0097833
