"Normals:0","Normals:1","Normals:2","VELOCITY_1","CP_1","DIPOLE_1","SOURCE_1","-Cp","arc_length","Points:0","Points:1","Points:2"
0.13504,0,-0.041984,6.2475,-0.055477,-0.28261,0.83966,0.055477,0,1,0,1.7266e-17
-0.15772,0,-0.98745,5.5109,0.18977,0.79129,-0.63197,-0.18977,0.00099288,0.99902,0,0.00015633
-0.15669,0,-0.98761,5.4813,0.19847,0.7883,-0.62562,-0.19847,0.0039683,0.99608,0,0.00062279
-0.15498,0,-0.98788,5.4429,0.20965,0.78321,-0.61504,-0.20965,0.0089165,0.99119,0,0.0013917
-0.15258,0,-0.98826,5.4147,0.21782,0.77646,-0.60026,-0.21782,0.015821,0.98437,0,0.0024505
-0.1495,0,-0.98873,5.3923,0.22428,0.76817,-0.5813,-0.22428,0.02466,0.97563,0,0.0037817
-0.14576,0,-0.98929,5.3722,0.23005,0.75835,-0.55821,-0.23005,0.035404,0.96501,0,0.005363
-0.14135,0,-0.98993,5.353,0.23557,0.74696,-0.53105,-0.23557,0.048015,0.95252,0,0.0071679
-0.13629,0,-0.99064,5.3341,0.24096,0.73396,-0.49991,-0.24096,0.062452,0.93823,0,0.0091656
-0.13061,0,-0.99141,5.3156,0.24619,0.71933,-0.46491,-0.24619,0.078665,0.92216,0,0.011322
-0.12432,0,-0.99222,5.2979,0.2512,0.70304,-0.42618,-0.2512,0.096598,0.90437,0,0.0136
-0.11746,0,-0.99305,5.2812,0.25592,0.68511,-0.38394,-0.25592,0.11619,0.88492,0,0.015958
-0.11006,0,-0.9939,5.2659,0.26023,0.66557,-0.33843,-0.26023,0.13736,0.86389,0,0.018357
-0.10217,0,-0.99474,5.2525,0.26399,0.64447,-0.28995,-0.26399,0.16004,0.84133,0,0.020753
-0.093859,0,-0.99556,5.2415,0.26708,0.62191,-0.23884,-0.26708,0.18415,0.81733,0,0.023104
-0.085183,0,-0.99635,5.2332,0.2694,0.598,-0.18554,-0.2694,0.2096,0.79199,0,0.025369
-0.076222,0,-0.99707,5.2278,0.27089,0.57289,-0.13052,-0.27089,0.23629,0.76538,0,0.027509
-0.067066,0,-0.99773,5.2259,0.27144,0.54676,-0.074324,-0.27144,0.26412,0.73762,0,0.029488
