"Normals:0","Normals:1","Normals:2","VELOCITY_1","CP_1","DIPOLE_1","SOURCE_1","Points:0","Points:1","Points:2"
0.1518,0,-0.054454,5.9409,0.056394,-0.38259,0.95293,1,0,1.9826e-17
-0.17812,0,-0.98386,5.6579,0.14599,0.82009,-0.60908,0.99903,0,0.0001762
-0.17698,0,-0.98407,5.6379,0.15203,0.81632,-0.60202,0.99614,0,0.00070202
-0.17509,0,-0.98441,5.6077,0.16108,0.81019,-0.59034,0.99132,0,0.0015692
-0.17245,0,-0.98488,5.571,0.172,0.80218,-0.57401,0.98459,0,0.002764
-0.16907,0,-0.98547,5.5325,0.18341,0.79244,-0.55309,0.97597,0,0.0042674
-0.16496,0,-0.98617,5.4942,0.19469,0.78099,-0.52764,0.96549,0,0.0060554
-0.16012,0,-0.98698,5.4571,0.20553,0.76779,-0.49774,0.95316,0,0.0080991
-0.15458,0,-0.98787,5.422,0.21571,0.75283,-0.46351,0.93903,0,0.010365
-0.14837,0,-0.98883,5.3894,0.22512,0.7361,-0.4251,0.92315,0,0.012817
-0.1415,0,-0.98984,5.3596,0.23367,0.7176,-0.3827,0.90555,0,0.015412
-0.13402,0,-0.99089,5.3329,0.24129,0.69735,-0.33655,0.88629,0,0.01811
-0.12598,0,-0.99195,5.3096,0.2479,0.67542,-0.28695,0.86544,0,0.020863
-0.11743,0,-0.99301,5.29,0.25344,0.65189,-0.23425,0.84306,0,0.023627
-0.10844,0,-0.99404,5.2743,0.25787,0.62688,-0.17888,0.81923,0,0.026355
-0.099088,0,-0.99502,5.2627,0.26112,0.60053,-0.12133,0.79404,0,0.029003
-0.089467,0,-0.99594,5.2555,0.26314,0.57304,-0.062167,0.76757,0,0.03153
-0.079679,0,-0.99678,5.2529,0.26389,0.54461,-0.0020213,0.73992,0,0.033895
-0.069837,0,-0.99752,5.2549,0.26332,0.51548,0.05841,0.71119,0,0.036066
-0.060062,0,-0.99816,5.2617,0.26142,0.48593,0.11837,0.6815,0,0.038015
-0.050487,0,-0.9987,5.2731,0.25821,0.45622,0.17707,0.65096,0,0.03972
-0.041249,0,-0.99913,5.2891,0.25369,0.42664,0.23367,0.6197,0,0.041168
-0.032487,0,-0.99945,5.3095,0.24794,0.39749,0.2873,0.58783,0,0.042353
-0.024346,0,-0.99969,5.3336,0.2411,0.36902,0.3371,0.5555,0,0.04328
-0.01697,0,-0.99984,5.3606,0.23337,0.34148,0.38219,0.52284,0,0.04396
-0.0105,0,-0.99994,5.3896,0.22508,0.31507,0.42172,0.49,0,0.044413
-0.0050787,0,-0.99998,5.4186,0.2167,0.28991,0.45483,0.45712,0,0.044669
-0.00084586,0,-0.99999,5.4453,0.20897,0.26607,0.48067,0.42434,0,0.044762
0.0020584,0,-0.99999,5.4653,0.20316,0.24345,0.4984,0.39183,0,0.044735
