"Normals:0","Normals:1","Normals:2","VELOCITY_1","CP_1","DIPOLE_1","SOURCE_1","-Cp","Points:0","Points:1","Points:2"
0.16278,0,-0.044107,4.5323,0.43648,-0.31259,1.0099,-0.43648,1,0,2.0114e-17
-0.094717,0,-0.9955,5.0832,0.30947,0.54275,-0.24411,-0.30947,0.99902,0,9.3467e-05
-0.093839,0,-0.99559,4.8903,0.362,0.53891,-0.23871,-0.362,0.99609,0,0.00037187
-0.092377,0,-0.99572,4.9524,0.34564,0.53284,-0.22973,-0.34564,0.9912,0,0.00082922
-0.090331,0,-0.99591,5.0314,0.32462,0.52506,-0.21716,-0.32462,0.98439,0,0.0014556
-0.0877,0,-0.99615,5.0929,0.30801,0.51577,-0.201,-0.30801,0.97565,0,0.0022372
-0.084489,0,-0.99642,5.1378,0.29577,0.50505,-0.18127,-0.29577,0.96503,0,0.0031565
-0.080702,0,-0.99674,5.1709,0.28669,0.49295,-0.15802,-0.28669,0.95256,0,0.0041925
-0.076349,0,-0.99708,5.1959,0.27978,0.4795,-0.13129,-0.27978,0.93826,0,0.0053207
-0.071443,0,-0.99744,5.2155,0.27432,0.46474,-0.10117,-0.27432,0.92219,0,0.0065139
-0.066004,0,-0.99782,5.2317,0.26981,0.44872,-0.067801,-0.26981,0.90439,0,0.0077422
-0.06006,0,-0.99819,5.246,0.26583,0.43148,-0.03134,-0.26583,0.88493,0,0.0089738
-0.053648,0,-0.99855,5.2595,0.26203,0.41313,0.0079847,-0.26203,0.86386,0,0.010176
-0.046812,0,-0.9989,5.2731,0.2582,0.39376,0.049889,-0.2582,0.84127,0,0.011314
-0.039609,0,-0.99921,5.2877,0.2541,0.3735,0.094026,-0.2541,0.81723,0,0.012356
-0.032106,0,-0.99948,5.304,0.24949,0.35251,0.13998,-0.24949,0.79183,0,0.013269
-0.024382,0,-0.9997,5.3226,0.2442,0.33096,0.18727,-0.2442,0.76515,0,0.014024
-0.016525,0,-0.99986,5.3441,0.2381,0.30907,0.23536,-0.2381,0.73731,0,0.014594
-0.0086352,0,-0.99995,5.3687,0.23106,0.28707,0.28363,-0.23106,0.7084,0,0.014958
-0.00082036,0,-0.99999,5.3968,0.22298,0.2652,0.33141,-0.22298,0.67855,0,0.015098
0.006803,0,-0.99997,5.4286,0.21381,0.24372,0.37801,-0.21381,0.64786,0,0.015004
0.014112,0,-0.99989,5.464,0.20351,0.22289,0.42267,-0.20351,0.61646,0,0.014673
0.020981,0,-0.99977,5.503,0.19211,0.20296,0.46461,-0.19211,0.58449,0,0.014108
0.027279,0,-0.99962,5.5451,0.1797,0.18418,0.50306,-0.1797,0.55208,0,0.01332
0.032875,0,-0.99946,5.5895,0.16651,0.16674,0.53722,-0.16651,0.51936,0,0.01233
0.037638,0,-0.99929,5.6347,0.15299,0.15079,0.56628,-0.15299,0.48648,0,0.011162
0.041436,0,-0.99914,5.6773,0.14011,0.1364,0.58945,-0.14011,0.4536,0,0.0098525
0.044301,0,-0.99902,5.7101,0.13016,0.1234,0.60692,-0.13016,0.42084,0,0.0084403
0.051043,0,-0.99868,5.7347,0.12266,0.11122,0.64802,-0.12266,0.38792,0,0.0069398
