"Normals:0","Normals:1","Normals:2","VELOCITY_1","CP_1","DIPOLE_1","SOURCE_1","-Cp","Points:0","Points:1","Points:2"
0.19802,0,-0.058529,7.6493,-0.59982,-0.37715,1.2389,0.59982,1,0,2.5163e-17
-0.07898,0,-0.99688,5.9021,0.0629,0.3456,0.048549,-0.0629,0.99904,0,7.3653e-05
-0.078087,0,-0.99695,5.1855,0.28183,0.34086,0.054035,-0.28183,0.99616,0,0.00029272
-0.076596,0,-0.99706,4.9863,0.3367,0.33361,0.06319,-0.3367,0.99136,0,0.00065155
-0.074509,0,-0.99722,4.976,0.33944,0.32443,0.075999,-0.33944,0.98466,0,0.0011408
-0.071828,0,-0.99742,5.0083,0.33084,0.31361,0.092459,-0.33084,0.97607,0,0.0017472
-0.068554,0,-0.99765,5.0466,0.32055,0.3013,0.11255,-0.32055,0.96562,0,0.0024544
-0.064695,0,-0.9979,5.0832,0.31067,0.2876,0.13622,-0.31067,0.95332,0,0.0032421
-0.06026,0,-0.99818,5.1165,0.30161,0.27259,0.16342,-0.30161,0.93922,0,0.0040871
-0.055267,0,-0.99847,5.1468,0.29332,0.25639,0.19403,-0.29332,0.92335,0,0.0049634
-0.049739,0,-0.99876,5.1746,0.28566,0.23908,0.2279,-0.28566,0.90576,0,0.0058423
-0.043708,0,-0.99904,5.201,0.27835,0.22077,0.26484,-0.27835,0.8865,0,0.0066937
-0.037218,0,-0.9993,5.2269,0.27114,0.2016,0.30456,-0.27114,0.86563,0,0.0074859
-0.030322,0,-0.99953,5.2533,0.26375,0.1817,0.34674,-0.26375,0.84321,0,0.008187
-0.023086,0,-0.99973,5.281,0.25598,0.16127,0.39098,-0.25598,0.81931,0,0.008766
-0.01559,0,-0.99987,5.3107,0.2476,0.14049,0.43677,-0.2476,0.79403,0,0.0091931
-0.007925,0,-0.99996,5.3431,0.23839,0.1196,0.48358,-0.23839,0.76744,0,0.0094415
-0.000194,0,-0.99999,5.3787,0.2282,0.098849,0.53075,-0.2282,0.73965,0,0.0094882
0.0074877,0,-0.99996,5.418,0.21688,0.078507,0.57758,-0.21688,0.71075,0,0.0093153
0.014995,0,-0.99988,5.4614,0.20427,0.058863,0.62333,-0.20427,0.68087,0,0.0089108
0.022196,0,-0.99974,5.5091,0.1903,0.040212,0.66718,-0.1903,0.6501,0,0.0082697
0.028949,0,-0.99957,5.5613,0.17488,0.022847,0.70828,-0.17488,0.61859,0,0.0073949
0.035113,0,-0.99937,5.6178,0.15804,0.0070544,0.74576,-0.15804,0.58645,0,0.0062973
